NTD ID,Agency,City,State,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Diesel (gal),Gasoline (gal),Liquefied Petroleum Gas (gal),Compressed Natural Gas (gal),Bio Diesel (gal),Hydrogen (kg),Other Fuel (gal/gal equivalent),Electric Propulsion (kWh),Electric Battery (kWh),Diesel (miles),Gasoline (miles),Liquefied Petroleum Gas (miles),Compressed Natural Gas (miles),Hydrogen (miles),Other Fuel (miles),Electric Propulsion (miles),Electric Battery (miles),diesel_gal_questionable,diesel_mpg_questionable,questionable_data
40173,Piedmont Authority for Regional Transportation,Greensboro,NC,Independent Public Agency or Authority of Transit Service,Full Reporter,35164,"Greensboro, NC","338,928",44,"183,861","79,146",0,0,0,0,0,0,0,"1,058,595","813,202",0,0,0,0,0,0,0,0,
18,Ben Franklin Transit,Richland,WA,Independent Public Agency or Authority of Transit Service,Full Reporter,44479,"Kennewick--Richland--Pasco, WA","255,401",268,"678,312","368,844",0,0,0,0,0,0,0,"3,705,899","4,868,751",0,0,0,0,0,1,0,0,
2,Spokane Transit Authority,Spokane,WA,Independent Public Agency or Authority of Transit Service,Full Reporter,83764,"Spokane, WA","447,279",279,"1,442,315","160,768",260,0,0,0,0,0,"253,079","8,623,193","1,863,191","1,975",0,0,"1,975",0,"45,175",0,0,
30137,Monroe County Transportation  Authority,Swiftwater,PA,Independent Public Agency or Authority of Transit Service,Full Reporter,42,Pennsylvania Non-UZA,"4,196,634",28,"34,279","97,411",0,"39,263",0,0,0,0,0,"183,920","811,074",0,"232,135",0,0,0,0,0,0,
40128,"Okaloosa County Board of County Commissioners, dba: Emerald Coast Rider",Crestview,FL,"City, County or Local Government Unit or Department of Transportation",Full Reporter,61372,"Navarre--Miramar Beach--Destin, FL","226,213",42,"1,863","101,066",0,0,0,0,0,0,0,600,"969,951",0,0,0,0,0,0,0,0,
40001,Chattanooga Area Regional Transportation Authority,Chattanooga,TN,"City, County or Local Government Unit or Department of Transportation",Full Reporter,15832,"Chattanooga, TN--GA","398,569",86,"346,388","118,953",0,0,0,0,0,"96,320","717,100","1,490,590","774,738",0,0,0,0,"21,044","196,200",0,0,
50161,"Ozaukee County , dba: Ozaukee County Transit Services",Port Washington,WI,"City, County or Local Government Unit or Department of Transportation",Full Reporter,57466,"Milwaukee, WI","1,306,795",31,"27,900","66,304",0,0,0,0,0,0,0,0,"1,046,415",0,0,0,0,0,0,0,0,
60019,"City of Albuquerque, dba: ABQRIDE",Albuquerque,NM,"City, County or Local Government Unit or Department of Transportation",Full Reporter,1171,"Albuquerque, NM","769,837",154,"1,006,053","309,825",0,"207,621",0,0,0,0,"41,205","5,072,810","4,401,446",0,"1,020,266",0,0,0,"4,776",0,0,
90171,"City of Santa Clarita, dba: Santa Clarita Transit",Santa Clarita,CA,"City, County or Local Government Unit or Department of Transportation",Full Reporter,79309,"Santa Clarita, CA","278,031",88,56,"24,101",0,"689,447","68,044",0,0,0,0,"169,088","149,563",0,"2,999,803",0,0,0,0,0,0,
50036,Capital Area Transportation Authority,Lansing,MI,Independent Public Agency or Authority of Transit Service,Full Reporter,47719,"Lansing, MI","318,300",163,"722,549","310,499",0,0,0,0,0,0,0,"2,960,185","1,888,461",0,0,0,0,0,0,0,0,
40200,Tampa Bay Area Regional Transit Authority,Tampa,FL,Independent Public Agency or Authority of Transit Service,Full Reporter,86599,"Tampa--St. Petersburg, FL","2,783,045",189,0,"126,175",0,0,0,0,0,0,0,0,"2,223,324",0,0,0,0,0,0,0,0,
50034,"City of Jackson Transportation Authority, dba: Jackson Area Transportation Authority",Jackson,MI,Independent Public Agency or Authority of Transit Service,Full Reporter,42157,"Jackson, MI","84,307",18,"88,847","21,726",0,0,0,0,0,0,0,"388,943","271,407",0,0,0,0,0,0,0,0,
80007,"City of Pueblo, dba: Pueblo Transit",Pueblo,CO,"City, County or Local Government Unit or Department of Transportation",Full Reporter,72613,"Pueblo, CO","120,642",27,"128,767","33,903",0,0,0,0,0,0,0,"496,874","265,230",0,0,0,0,0,0,0,0,
40196,Kentuckiana Regional Planning and Development Agency,Louisville,KY,"MPO, COG or Other Planning Agency",Full Reporter,51755,"Louisville/Jefferson County, KY--IN","974,397",30,0,"26,120",0,0,0,0,64,0,0,0,"381,452",0,0,0,0,0,0,0,0,
90232,"Solano County Transit, dba: SolTrans",Vallejo,CA,Independent Public Agency or Authority of Transit Service,Full Reporter,90028,"Vallejo, CA","175,132",31,"118,221","24,485",0,"229,539",0,0,0,0,"17,567","746,531","79,788",0,"893,332",0,0,0,"16,714",0,0,
40141,"Central Midlands Regional Transportation Authority, dba: The COMET",Columbia,SC,Independent Public Agency or Authority of Transit Service,Full Reporter,18964,"Columbia, SC","590,407",142,0,"32,789","448,194",0,"498,750",0,0,0,0,"1,728,174","451,412","1,198,629",0,0,"1,198,629",0,0,0,0,
90043,"City of Commerce, dba: City of Commerce Transit",Commerce,CA,"City, County or Local Government Unit or Department of Transportation",Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",14,0,598,0,"132,378",0,0,0,0,0,0,"3,938",0,"450,413",0,0,0,0,0,0,
60134,The Woodlands Township,Spring,TX,"City, County or Local Government Unit or Department of Transportation",Full Reporter,87300,"The Woodlands--Conroe, TX","402,454",29,"185,692",0,"34,620",0,0,0,0,0,0,"1,061,455",0,"108,120",0,0,"108,120",0,0,0,0,
44929,City of Fort Lauderdale,Fort Lauderdale,FL,"City, County or Local Government Unit or Department of Transportation",Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522",11,"12,669","33,350","3,019",0,0,0,0,0,0,0,"76,123","49,491",0,0,"49,491",0,0,0,0,
50099,"City of Eau Claire, dba: Eau Claire Transit",Eau Claire,WI,"City, County or Local Government Unit or Department of Transportation",Full Reporter,26038,"Eau Claire, WI","105,475",42,"127,144","21,209",0,0,0,0,0,0,0,"707,483",0,0,0,0,0,0,0,0,0,
55312,City of Milwaukee,Milwaukee,WI,"City, County or Local Government Unit or Department of Transportation",Full Reporter,57466,"Milwaukee, WI","1,306,795",3,0,0,0,0,0,0,0,"855,840",0,0,0,0,0,0,0,"83,833",0,0,0,
50012,"Southwest Ohio Regional Transit Authority, dba: Metro / Access",Cincinnati,OH,Independent Public Agency or Authority of Transit Service,Full Reporter,16885,"Cincinnati, OH--KY","1,686,744",321,"2,684,361",0,0,0,0,0,0,0,0,"13,338,672",0,0,0,0,0,0,0,0,0,
70049,River Bend Transit,Davenport,IA,Private-Non-Profit Corporation,Full Reporter,22366,"Davenport, IA--IL","285,211",35,0,"154,221",0,0,0,0,0,0,0,0,"1,080,834",0,0,0,0,0,0,0,0,
50104,Northern Indiana Commuter Transportation District,Chesterton,IN,Independent Public Agency or Authority of Transit Service,Full Reporter,16264,"Chicago, IL--IN","8,671,746",70,0,0,0,0,0,0,0,"13,144,250",0,0,0,0,0,0,0,"2,642,422",0,0,0,
20178,Ulster County,Kingston,NY,"City, County or Local Government Unit or Department of Transportation",Full Reporter,71803,"Poughkeepsie--Newburgh, NY","314,766",30,"62,400","54,300",0,0,0,0,0,0,"63,461","400,338","121,010",0,0,0,0,0,"33,394",0,0,
30022,Port Authority of Allegheny County,Pittsburgh,PA,Independent Public Agency or Authority of Transit Service,Full Reporter,69697,"Pittsburgh, PA","1,745,039",823,"6,002,456","888,006",0,0,0,0,0,"29,281,820","214,543","25,306,395","6,826,105",0,0,0,0,"1,749,675","64,720",0,0,
90095,"San Diego Association of Governments, dba: SANDAG",San Diego,CA,"MPO, COG or Other Planning Agency",Full Reporter,78661,"San Diego, CA","3,070,300",391,0,"478,814",0,0,0,0,0,0,"68,075",0,"9,928,872",0,0,0,0,0,"115,443",0,0,
90002,City and County of Honolulu,Honolulu,HI,"City, County or Local Government Unit or Department of Transportation",Full Reporter,39889,"Honolulu, HI","853,252",683,"4,582,118","1,122,215",0,0,0,0,0,0,"450,193","17,167,270","7,613,343",0,0,0,0,0,"228,079",0,0,
90200,Kings County Area Public Transit Agency,Hanford,CA,Independent Public Agency or Authority of Transit Service,Full Reporter,36703,"Hanford, CA","66,638",58,0,"61,631",0,"217,127",0,0,0,0,0,0,"549,139",0,"742,566",0,0,0,0,0,0,
50051,"Greater Lafayette Public Transportation Corporation, dba: CityBus",Lafayette,IN,Independent Public Agency or Authority of Transit Service,Full Reporter,46018,"Lafayette, IN","157,100",55,"57,877",443,0,"398,384",0,0,0,0,0,"250,752","5,753",0,"1,666,091",0,0,0,0,0,0,
40086,Metropolitan Bus Authority,San Juan,PR,Independent Public Agency or Authority of Transit Service,Full Reporter,79093,"San Juan, PR","1,844,410",107,"900,501","70,805",0,0,0,0,0,0,0,"2,424,695","528,017",0,0,0,0,0,0,0,0,
29,Snohomish County Public Transportation Benefit Area Corporation,Everett,WA,Independent Public Agency or Authority of Transit Service,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011",481,"2,133,600","256,481","4,237",0,"90,450",0,0,0,0,"12,757,262","3,114,745","24,392",0,0,"24,392",0,0,0,0,
50066,Chicago Transit Authority,Chicago,IL,Independent Public Agency or Authority of Transit Service,Full Reporter,16264,"Chicago, IL--IN","8,671,746","2,180","13,403,932",0,0,0,0,0,0,"373,727,434","302,556","41,493,246",0,0,0,0,0,"61,096,471","100,567",0,0,
10064,Greater Attleboro-Taunton Regional Transit Authority,Taunton,MA,Independent Public Agency or Authority of Transit Service,Full Reporter,72505,"Providence, RI--MA","1,285,806",104,"162,648","219,340",0,0,0,0,0,0,"6,689","939,193","2,272,102",0,0,0,0,0,"53,837",0,0,
30013,"Erie Metropolitan Transit Authority, dba: the e",Erie,PA,Independent Public Agency or Authority of Transit Service,Full Reporter,27766,"Erie, PA","187,820",78,"161,710","143,107",0,"279,137",0,0,0,0,0,"720,262","770,938",0,"1,056,650",0,0,0,0,0,0,
10050,Greater Bridgeport Transit Authority,Bridgeport,CT,Independent Public Agency or Authority of Transit Service,Full Reporter,10162,"Bridgeport--Stamford, CT--NY","916,408",58,"510,885","5,248",0,0,0,0,0,0,"108,587","2,426,282","12,751",0,0,0,0,0,"42,429",0,0,
20098,Port Authority Trans-Hudson Corporation,New York,NY,Independent Public Agency or Authority of Transit Service,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",274,0,0,0,0,0,0,0,"93,339,968",0,0,0,0,0,0,0,"13,176,997",0,0,0,
50008,"Milwaukee County, dba: Milwaukee County Transit System",Milwaukee,WI,"City, County or Local Government Unit or Department of Transportation",Full Reporter,57466,"Milwaukee, WI","1,306,795",373,"3,256,855","322,007",0,0,0,0,0,0,0,"17,068,208",0,0,0,0,0,0,0,0,0,
50031,Suburban Mobility Authority for Regional Transportation,Detroit,MI,Independent Public Agency or Authority of Transit Service,Full Reporter,23824,"Detroit, MI","3,776,890",269,"1,817,594",687,"629,092",0,0,0,0,0,0,"11,515,227","14,511","2,996,517",0,0,"2,996,517",0,0,0,0,
20082,New York City Department of Transportation,New York,NY,"City, County or Local Government Unit or Department of Transportation",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",13,"4,840,205",0,0,0,0,0,0,0,0,"192,239",0,0,0,0,0,0,0,0,0,
80002,"Su Tran LLC , dba: Sioux Area Metro",Sioux Falls,SD,Private Provider Reporting on Behalf of a Public Entity,Full Reporter,82252,"Sioux Falls, SD","194,283",31,"135,498","19,332",0,0,0,0,0,0,0,"723,683","184,943",0,0,0,0,0,0,0,0,
40003,"City of Memphis, dba: Memphis Area Transit Authority",Memphis,TN,"City, County or Local Government Unit or Department of Transportation",Full Reporter,56116,"Memphis, TN--MS--AR","1,056,190",137,"1,198,283","135,248",0,0,0,0,0,"654,000",0,"3,327,441","1,837,987",0,0,0,0,"89,995",0,0,0,
10107,Milford Transit District,Milford,CT,Independent Public Agency or Authority of Transit Service,Full Reporter,10162,"Bridgeport--Stamford, CT--NY","916,408",11,"54,397","25,533",0,0,0,0,0,0,0,"291,856","170,314",0,0,0,0,0,0,0,0,
90147,City of Los Angeles,Los Angeles,CA,"City, County or Local Government Unit or Department of Transportation",Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",363,0,"125,405","640,591","2,829,807",0,0,0,0,"513,393",0,"547,345","1,186,171","11,147,940",0,"1,186,171",0,"569,345",0,0,
50039,Saginaw Transit Authority Regional Service,Saginaw,MI,Independent Public Agency or Authority of Transit Service,Full Reporter,77149,"Saginaw, MI","116,058",56,"162,604","24,218",0,0,0,0,0,0,0,"782,907","310,032",0,0,0,0,0,0,0,0,
30083,"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,Independent Public Agency or Authority of Transit Service,Full Reporter,90892,"Virginia Beach--Norfolk, VA","1,451,578",348,"2,028,909","442,843",0,0,0,0,0,"3,291,138","1,576,400","9,016,202","3,597,550",0,0,0,0,"350,448","70,338",0,0,
60107,"Texoma Area Paratransit System, Inc",Sherman,TX,"City, County or Local Government Unit or Department of Transportation",Full Reporter,81631,"Sherman--Denison, TX","66,691",14,0,"57,973",0,0,0,0,0,0,0,0,"489,566",0,0,0,0,0,0,0,0,
80009,"Missoula Urban Transportation District, dba: Mountain Line",Missoula,MT,Independent Public Agency or Authority of Transit Service,Full Reporter,57736,"Missoula, MT","88,109",32,"111,490","28,806",0,0,0,0,0,0,"192,074","516,244","254,028",0,0,0,0,0,"190,131",0,0,
30051,"Montgomery County, Maryland, dba: Ride On",Rockville,MD,"City, County or Local Government Unit or Department of Transportation",Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759",288,"2,217,258",0,0,"1,282,521","12,350",0,0,0,"151,920","8,783,202",0,0,"4,516,189",0,0,0,"33,596",0,0,
28,"County of Pierce, dba: Pierce County Ferry",Tacoma,WA,"City, County or Local Government Unit or Department of Transportation",Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011",2,"194,380",0,0,0,0,0,0,0,0,"44,618",0,0,0,0,0,0,0,0,0,
23,"City of Seattle, dba: Seattle Center Monorail",Seattle,WA,"City, County or Local Government Unit or Department of Transportation",Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011",8,0,0,0,0,0,0,0,"491,162",0,0,0,0,0,0,0,"236,642",0,0,0,
60111,Rio Metro Regional Transit District,Albuquerque,NM,Independent Public Agency or Authority of Transit Service,Full Reporter,1171,"Albuquerque, NM","769,837",61,"43,700","85,463",0,0,"1,009,440",0,0,0,0,"818,134","1,185,862",0,0,0,0,0,0,0,0,
70015,"City of Wichita , dba: Wichita Transit",Wichita,KS,"City, County or Local Government Unit or Department of Transportation",Full Reporter,95077,"Wichita, KS","500,231",65,"257,872","107,903",0,0,0,0,0,0,"461,957","1,326,469","831,715",0,0,0,0,0,"202,338",0,0,
60101,Denton County Transportation Authority,Lewisville,TX,Independent Public Agency or Authority of Transit Service,Full Reporter,23500,"Denton--Lewisville, TX","429,461",183,"424,401","256,046",0,0,0,0,0,0,0,"1,422,808","1,642,662",0,0,0,0,0,0,0,0,
6,"City of Yakima, dba: Yakima Transit",Yakima,WA,"City, County or Local Government Unit or Department of Transportation",Full Reporter,97507,"Yakima, WA","133,145",44,"175,564","29,718",0,0,0,0,0,0,0,"730,016","289,443",0,0,0,0,0,0,0,0,
20003,"Broome County, dba: Department of Transportation/BC Transit",Binghamton,NY,"City, County or Local Government Unit or Department of Transportation",Full Reporter,7732,"Binghamton, NY","155,942",50,"251,939","55,561",0,0,0,0,0,0,0,"1,245,707","388,225",0,0,0,0,0,0,0,0,
90030,North County Transit District,Oceanside,CA,Independent Public Agency or Authority of Transit Service,Full Reporter,78661,"San Diego, CA","3,070,300",231,"1,280,613","127,190",0,"1,533,737","41,594",0,0,0,0,"1,019,324","735,966",0,"5,093,329",0,0,0,0,0,0,
20084,"County of Rockland , dba: Public Transportation - Transport of Rockland",New City,NY,"City, County or Local Government Unit or Department of Transportation",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",53,"391,733","86,870",0,0,0,0,0,0,0,"1,920,049","695,225",0,0,0,0,0,0,0,0,
70014,"Topeka Metropolitan Transit Authority, dba: Topeka Metro",Topeka,KS,Independent Public Agency or Authority of Transit Service,Full Reporter,88084,"Topeka, KS","148,956",34,"173,770","20,481",0,0,0,0,0,0,0,"899,749","131,910",0,0,0,0,0,0,0,0,
70010,Des Moines Area Regional Transit Authority,Des Moines,IA,Independent Public Agency or Authority of Transit Service,Full Reporter,23743,"Des Moines, IA","542,486",152,"759,289","50,214",0,0,0,0,0,0,"232,176","3,900,913","778,168",0,0,0,0,0,"121,998",0,0,
10087,"City of Nashua, dba: Nashua Transit System",Nashua,NH,"City, County or Local Government Unit or Department of Transportation",Full Reporter,61165,"Nashua, NH--MA","242,984",14,0,"18,735",0,"90,611","17,242",0,0,0,0,"121,485","266,932",0,"369,427",0,0,0,0,0,0,
90241,County of Maui,Wailuku,HI,"City, County or Local Government Unit or Department of Transportation",Full Reporter,43615,"Kahului--Wailuku, HI","57,905",67,"321,839","156,144",0,0,0,0,0,0,0,"2,038,817","1,347,770",0,0,0,0,0,0,0,0,
30025,County of Lackawanna Transit System,Scranton,PA,Independent Public Agency or Authority of Transit Service,Full Reporter,80227,"Scranton, PA","366,713",72,"83,283","83,222",0,"163,207",0,0,0,0,0,"603,497","783,869",0,"457,894",0,0,0,0,0,0,
30085,"Prince George's County, Maryland, dba: Prince George's County Transit",Upper Marlboro,MD,"City, County or Local Government Unit or Department of Transportation",Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759",93,"845,985","93,432","14,777",0,0,0,0,0,0,"3,014,500","528,145","119,173",0,0,"119,173",0,0,0,0,
70003,"City of Springfield, dba: City Utilities of Springfield MO",Springfield,MO,"City, County or Local Government Unit or Department of Transportation",Full Reporter,83953,"Springfield, MO","282,651",22,"210,145","20,793",0,0,0,0,0,0,"65,840","995,207","150,679",0,0,0,0,0,"30,107",0,0,
90012,"San Joaquin Regional Transit District, dba: San Joaquin RTD",Stockton,CA,Independent Public Agency or Authority of Transit Service,Full Reporter,85087,"Stockton, CA","414,847",115,"356,213","46,526",0,0,0,0,0,0,"701,220","1,245,059","455,589",0,0,0,0,0,"152,756",0,0,
90016,"Golden Gate Bridge, Highway and Transportation District",San Francisco,CA,Independent Public Agency or Authority of Transit Service,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",59,"1,707,464","37,131",0,0,0,0,0,0,0,"2,887,085","414,500",0,0,0,0,0,0,0,0,
40031,Lakeland Area Mass Transit District,Lakeland,FL,Independent Public Agency or Authority of Transit Service,Full Reporter,46828,"Lakeland, FL","277,915",71,"191,263","135,011",0,0,0,0,0,0,0,"994,003","1,514,179",0,0,0,0,0,0,0,0,
50169,"Miami County, Ohio , dba: Miami County Public Transit",Troy,OH,"City, County or Local Government Unit or Department of Transportation",Full Reporter,22528,"Dayton, OH","674,046",18,0,"60,225",0,0,0,0,0,0,0,0,"491,322",0,0,0,0,0,0,0,0,
50028,"St. Cloud Metropolitan Transit Commission, dba: Metro Bus",Saint Cloud,MN,Independent Public Agency or Authority of Transit Service,Full Reporter,77338,"St. Cloud, MN","117,638",46,"32,655",0,0,"354,357",0,0,0,0,0,"184,887",0,0,"1,550,065",0,0,0,0,0,0,
50165,"Greene County Transit Board, dba: Greene CATS Public Transit",Xenia,OH,"City, County or Local Government Unit or Department of Transportation",Full Reporter,22528,"Dayton, OH","674,046",18,0,"86,999",0,0,0,0,0,0,0,0,"752,507",0,0,0,0,0,0,0,0,
20177,"Adirondack Transit Lines, Inc,",Hurley,NY,Private-For-Profit Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",13,"217,501",0,0,0,0,0,0,0,0,"3,239,304",0,0,0,0,0,0,0,0,0,
20226,"SeaStreak, LLC",Atlantic Highlands,NJ,Private-For-Profit Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",7,"1,701,973",0,0,0,0,0,0,0,0,"144,634",0,0,0,0,0,0,0,0,0,
60108,"Harris County, dba:  Community & Economic Development Department",Houston,TX,"City, County or Local Government Unit or Department of Transportation",Full Reporter,40429,"Houston, TX","5,853,575",33,"14,056","137,046",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
60018,Metropolitan Tulsa Transit Authority,Tulsa,OK,"City, County or Local Government Unit or Department of Transportation",Full Reporter,88948,"Tulsa, OK","722,810",78,"38,990","22,098",0,"718,122",0,0,0,0,"17,732","243,686","220,975",0,"5,264,137",0,0,0,"51,249",0,0,
90234,"Marin County Transit District, dba: Marin Transit",San Rafael,CA,Independent Public Agency or Authority of Transit Service,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",80,"468,544","169,148",0,0,0,0,0,0,"79,229","2,554,598","1,056,940",0,0,0,0,0,"37,311",0,0,
50158,University of Michigan Parking and Transportation Services,Ann Arbor,MI,University,Full Reporter,2602,"Ann Arbor, MI","317,689",46,"305,323",0,0,0,0,0,0,0,0,"1,442,260",0,0,0,0,0,0,0,0,0,
40042,Birmingham-Jefferson County Transit Authority,Birmingham,AL,Independent Public Agency or Authority of Transit Service,Full Reporter,7786,"Birmingham, AL","774,956",94,"2,455","20,023",0,"748,036",0,0,0,0,0,"10,182","176,893",0,"2,414,128",0,0,0,"8,456",0,0,
50176,"City of DeKalb, dba: City of DeKalb Public Transit",Dekalb,IL,"City, County or Local Government Unit or Department of Transportation",Full Reporter,22960,"DeKalb, IL","64,736",32,"172,975","76,936",0,0,0,0,0,0,0,"659,675","399,117",0,0,0,0,0,0,0,0,
50160,"County of Washington, dba: Washington County Transit",West Bend,WI,"City, County or Local Government Unit or Department of Transportation",Full Reporter,57466,"Milwaukee, WI","1,306,795",36,"62,568","100,664",0,0,0,0,0,0,0,0,"1,078,800",0,0,0,0,0,0,0,0,
50047,"Bloomington-Normal Public Transit System, dba: Connect Transit",Normal,IL,Independent Public Agency or Authority of Transit Service,Full Reporter,8407,"Bloomington--Normal, IL","134,100",45,0,"67,825","13,050",0,"267,965",0,0,0,"47,520","1,234,873","388,501","51,801",0,0,"51,801",0,"24,316",0,0,
60015,"City of Galveston , dba: Galveston, City of",Galveston,TX,"City, County or Local Government Unit or Department of Transportation",Full Reporter,32491,"Galveston--Texas City, TX","191,863",13,"38,954","15,755",0,0,0,0,"5,143",0,0,"109,876","139,984",0,0,0,0,0,0,0,0,
30026,River Valley Transit Authority,Williamsport,PA,"City, County or Local Government Unit or Department of Transportation",Full Reporter,95455,"Williamsport, PA","55,344",31,"36,210","9,329",0,"185,045",0,0,0,0,0,"121,722",0,0,"699,579",0,0,0,0,0,0,
90008,"City of Santa Monica, dba: Big Blue Bus",Santa Monica,CA,"City, County or Local Government Unit or Department of Transportation",Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",143,0,0,0,"1,506,524",0,0,0,0,"258,194",0,0,0,"4,516,340",0,0,0,"125,725",0,0,
50154,Metropolitan Council,Minneapolis,MN,"City, County or Local Government Unit or Department of Transportation",Full Reporter,57628,"Minneapolis--St. Paul, MN","2,914,866",656,0,"4,173,604",0,0,"366,405",0,0,0,0,"2,465,627","28,815,817",0,0,0,0,0,0,0,0,
10045,"Connecticut Department of Transportation - CTTransit New Britain -Dattco., dba: DATTCO",New Britain,CT,Private Provider Reporting on Behalf of a Public Entity,Full Reporter,37243,"Hartford, CT","977,158",25,"103,971",0,0,0,0,0,0,0,0,"334,814",0,0,0,0,0,0,0,0,0,
40047,"Athens-Clarke County Unified Government, dba: Athens-Clarke County Transit Department",Athens,GA,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3763,"Athens-Clarke County, GA","143,213",19,"182,598","20,549",0,0,0,0,0,0,0,"807,259","133,132",0,0,0,0,0,0,0,0,
40036,"City of Tallahassee, dba: StarMetro",Tallahassee,FL,"City, County or Local Government Unit or Department of Transportation",Full Reporter,86464,"Tallahassee, FL","252,934",123,"357,163","91,914",0,"154,731",0,0,0,0,"698,851","1,174,084","217,565",0,"759,284",0,0,0,"360,572",0,0,
70002,Transit Authority of Omaha,Omaha,NE,Independent Public Agency or Authority of Transit Service,Full Reporter,65269,"Omaha, NE--IA","819,508",100,"260,563","73,047",0,"473,440","146,746",0,0,0,"110,120","1,874,295","393,994",0,"1,630,329",0,0,0,"50,192",0,0,
40928,"Baldwin County Commission, dba: Baldwin Regional Area Transit System",Bay Minette,AL,"City, County or Local Government Unit or Department of Transportation",Full Reporter,28766,"Fairhope--Daphne, AL","76,807",30,0,"134,134",0,0,0,0,0,0,0,0,"1,038,838",0,0,0,0,0,0,0,0,
