Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,TOS,Mode VOMS,Fare Revenues per Unlinked Passenger Trip,Fare Revenues per Unlinked Passenger Trip Questionable,Fare Revenues per Total Operating Expense (Recovery Ratio),Fare Revenues per Total Operating Expense (Recovery Ratio) Questionable,Cost per Hour,Cost per Hour Questionable,Passengers per Vehicle Revenue Hour,Passengers per Hour Questionable,Cost per Passenger,Cost per Passenger Questionable,Cost per Passenger Mile,Cost per Passenger Mile Questionable,Fare Revenues Earned,Fare Revenues Earned Questionable,Total Operating Expenses,Total Operating Expenses Questionable,Unlinked Passenger Trips,Unlinked Passenger Trips Questionable,Vehicle Revenue Hours,Vehicle Revenue Hours Questionable,Passenger Miles,Passenger Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",MB,DO,"1,779",2.54,,0.24,,208.69,,19,,10.73,,1.38,,"242,952,995",,"1,024,749,663",,"95,497,204",,"4,910,288",,"744,881,335",,"74,356,213",
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",YR,PT,16,0.60,,0.03,,768.74,,38,,20.36,,1.39,,"1,032,848",,"34,862,160",,"1,712,082",,"45,350",,"25,017,387",,"1,156,597",
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",LR,DO,15,0.97,,0.12,,514.98,,65,,7.91,,3.21,,"3,378,232",,"27,591,728",,"3,489,489",,"53,578",,"8,601,408",,"520,531",
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759","2,807",HR,DO,998,2.12,,0.13,,530.82,,33,,16.06,,3.02,,"161,575,682",,"1,221,960,685",,"76,077,714",,"2,302,036",,"404,715,396",,"53,126,512",
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759","2,807",DR,PT,662,3.37,,0.03,,91.22,,1,,116.60,,11.13,,"4,401,849",,"152,419,955",,"1,307,178",,"1,670,819",,"13,699,189",,"19,251,997",
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759","2,807",MB,PT,51,1.37,W,0.16,,124.85,,14,W,8.81,W,1.22,W,"1,016,066",,"6,541,012",,"742,254",W,"52,392",,"5,346,180",W,"776,257",
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759","2,807",MB,DO,"1,096",0.59,,0.06,,236.87,,22,,10.65,,3.41,,"46,538,951",,"839,216,279",,"78,770,385",,"3,542,918",,"246,277,197",,"35,554,946",
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",DR,DO,70,0.00,,0.00,,136.30,,3,,49.82,,15.77,,0,,"25,063,500",,"503,122",,"183,886",,"1,589,750",,"2,241,318",
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",VP,PT,673,7.86,,0.95,,24.90,,3,,8.25,,0.18,,"9,148,488",,"9,610,858",,"1,164,264",,"386,015",,"54,595,971",,"15,125,447",
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",HR,DO,64,0.29,,0.04,,610.78,,87,,6.99,,1.37,,"7,154,300",,"175,274,410",,"25,075,130",,"286,966",,"128,143,989",,"6,100,816",
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",RB,DO,24,0.29,,0.04,,346.65,,43,,8.09,,1.33,,"1,112,985",,"31,066,707",,"3,838,674",,"89,621",,"23,321,189",,"1,380,560",
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",LR,DO,148,0.28,,0.02,,621.46,,46,,13.40,,2.24,,"8,731,769",,"410,761,191",,"30,660,760",,"660,958",,"183,686,405",,"13,476,172",
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",MB,DO,"1,421",0.25,,0.04,,196.86,,33,,5.95,,1.92,,"46,014,187",,"1,092,836,712",,"183,539,085",,"5,551,201",,"568,184,711",,"57,210,088",
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",MB,PT,109,0.12,,0.02,,121.96,,21,,5.73,,1.48,,"1,182,863",,"56,751,812",,"9,907,089",,"465,323",,"38,370,680",,"5,419,931",
Chicago Transit Authority,Chicago,IL,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,16264,"Chicago, IL--IN","8,671,746","2,180",HR,DO,906,1.32,,0.22,,166.64,,28,,6.02,,1.01,,"137,120,529",,"623,607,857",,"103,524,858",,"3,742,178",,"615,259,223",,"66,984,263",
Chicago Transit Authority,Chicago,IL,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,16264,"Chicago, IL--IN","8,671,746","2,180",MB,DO,"1,274",1.12,,0.20,,160.36,,29,,5.53,,2.19,,"157,136,558",,"774,665,363",,"140,013,945",,"4,830,866",,"353,874,432",,"44,199,272",
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011","2,029",DR,TX,94,0.83,,0.02,,106.67,,2,,52.27,,3.59,,"91,601",,"5,791,694",,"110,794",,"54,293",,"1,612,286",,"1,461,592",
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011","2,029",MB,DO,793,1.06,,0.09,,235.17,,19,,12.23,,3.09,,"56,566,150",,"654,161,434",,"53,503,564",,"2,781,612",,"211,617,698",,"29,908,625",
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011","2,029",VP,DO,745,7.80,,0.62,,63.29,,5,,12.68,,0.62,,"5,484,481",,"8,908,529",,"702,709",,"140,750",,"14,389,243",,"4,413,910",
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011","2,029",MB,PT,51,0.58,,0.02,,209.36,,6,,36.43,,9.50,,"280,187",,"17,491,566",,"480,077",,"83,548",,"1,841,319",,"907,697",
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011","2,029",DR,PT,217,1.33,,0.01,,134.77,,1,,98.61,,9.87,,"740,726",,"54,748,982",,"555,210",,"406,246",,"5,546,871",,"4,968,632",
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011","2,029",FB,DO,2,4.28,,0.19,,"1,521.83",,68,,22.23,,6.53,,"1,715,265",,"8,899,659",,"400,407",,"5,848",,"1,361,870",,"51,236",
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011","2,029",TB,DO,117,1.06,,0.12,,214.58,,24,,8.79,,4.80,,"10,123,486",,"84,198,937",,"9,575,042",,"392,391",,"17,545,751",,"2,635,705",
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011","2,029",SR,DO,10,0.53,,0.05,,334.99,,30,,11.20,,9.85,,"588,495",,"12,511,637",,"1,117,605",,"37,349",,"1,269,696",,"180,369",
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",MB,PT,83,0.05,Q,0.01,,185.19,Q,25,Q,7.53,Q,3.36,Q,"110,480",,"17,841,007",,"2,369,255",Q,"96,338",Q,"5,307,131",Q,"1,154,331",
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",FB,PT,8,7.24,,0.29,,751.27,,30,,25.09,,3.41,Q,"4,309,134",,"14,935,167",,"595,180",,"19,880",,"4,375,835",Q,"189,037",Q
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",MB,DO,653,0.83,,0.11,,237.42,,31,,7.70,,3.05,,"55,129,168",,"514,500,114",,"66,787,609",,"2,167,073",,"168,662,733",,"20,031,415",
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",CR,PT,416,5.64,Q,0.17,,579.64,,17,Q,33.15,Q,1.54,Q,"80,658,731",,"474,347,246",,"14,310,785",Q,"818,346",,"307,334,036",Q,"23,837,624",
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",DR,PT,372,2.92,,0.03,,140.46,,1,,107.07,,13.25,,"2,718,009",,"99,595,993",,"930,174",,"709,084",,"7,518,032",,"8,723,274",
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",RB,DO,37,0.81,,0.15,,247.62,,46,,5.42,,2.43,,"5,998,846",,"40,324,535",,"7,433,990",,"162,848",,"16,605,586",,"1,420,562",
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",HR,DO,312,1.59,,0.37,,221.40,,52,,4.23,,1.25,,"125,112,804",,"333,756,435",,"78,861,897",,"1,507,475",,"266,054,405",,"22,214,025",
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",TB,DO,13,1.18,,0.06,,648.63,Q,32,Q,20.30,,8.65,,"1,066,929",,"18,370,594",,"905,096",,"28,322",Q,"2,123,790",,"272,820",Q
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",LR,DO,124,1.51,,0.24,,332.11,,52,,6.37,,2.62,Q,"47,061,388",,"199,157,007",,"31,261,416",,"599,675",,"76,107,994",Q,"5,252,956",Q
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",SR,DO,92,1.17,,0.16,,320.99,,44,,7.29,,2.87,,"12,249,760",,"76,339,875",,"10,470,047",,"237,827",,"26,601,998",,"2,026,697",
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",MB,PT,3,0.91,,0.04,,106.07,,4,,25.55,,3.79,,"29,430",,"829,286",,"32,454",,"7,818",,"218,537",,"127,940",
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",TB,DO,29,1.03,,0.21,,177.23,,36,,4.96,,2.46,,"3,095,802",,"14,939,677",,"3,011,436",,"84,297",,"6,074,373",,"701,398",
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",CR,DO,277,3.45,,0.18,,414.09,,22,,18.94,,1.44,,"56,363,232",,"309,426,507",,"16,340,688",,"747,253",,"214,528,260",,"14,712,833",
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",HR,DO,238,1.02,,0.25,,207.07,,51,,4.04,,0.97,,"53,638,079",,"212,247,719",,"52,499,263",,"1,024,991",,"219,803,311",,"15,691,660",
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",DR,PT,234,3.80,,0.06,,85.64,,1,,64.84,,9.08,,"2,716,787",,"46,327,284",,"714,534",,"540,978",,"5,102,281",,"5,709,370",
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",MB,DO,"1,089",1.11,,0.15,,178.58,,24,,7.59,,2.65,,"101,489,746",,"692,241,550",,"91,161,232",,"3,876,338",,"260,749,719",,"39,188,981",
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",CB,PT,88,7.57,Q,0.11,,288.92,,4,Q,66.85,Q,4.04,Q,"6,120,500",,"54,066,235",,"808,736",Q,"187,129",,"13,387,421",Q,"5,397,064",Q
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",MB,DO,627,0.61,W,0.07,,218.77,,24,W,9.23,W,2.07,W,"24,550,300",,"370,836,050",,"40,168,414",W,"1,695,080",,"179,311,207",W,"19,472,968",
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",HR,DO,42,2.54,W,0.08,,396.66,,12,W,33.74,W,9.41,,"5,717,200",,"75,990,294",,"2,252,070",W,"191,576",,"8,073,716",,"4,602,773",
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",DR,PT,398,0.70,,0.01,,128.46,Q,2,Q,77.68,,8.32,,"890,441",,"99,089,809",,"1,275,553",,"771,353",Q,"11,913,199",,"13,365,050",Q
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",LR,DO,17,1.16,,0.06,,260.91,,14,,18.10,,3.84,,"3,362,800",,"52,551,901",,"2,903,523",,"201,420",,"13,671,562",,"3,110,550",
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",DR,TX,150,1.13,,0.01,,336.33,,4,,89.69,,16.66,,"573,000",,"45,493,349",,"507,211",,"135,263",,"2,730,571",,"2,510,905",
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",DR,DO,15,1.07,,0.02,,84.17,,2,,52.66,,7.49,,"20,615",,"1,012,096",,"19,219",,"12,025",,"135,200",,"178,539",
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",CR,PT,149,6.09,,0.08,,"1,098.69",,15,,73.63,,2.47,,"13,842,300",,"167,230,292",,"2,271,221",,"152,209",,"67,825,402",,"5,780,429",
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",MB,PT,91,0.77,,0.08,,76.56,,8,,9.72,,2.45,W,"936,770",,"11,773,302",,"1,211,425",,"153,780",,"4,798,416",W,"1,704,443",
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",CB,PT,9,0.73,,0.07,,78.81,,8,,9.99,,0.26,,"221,689",,"3,026,211",,"303,052",,"38,397",,"11,697,303",,"1,243,592",
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",HR,DO,84,1.01,,0.11,,308.49,,33,,9.35,,1.27,W,"11,562,918",,"106,975,348",,"11,446,854",,"346,766",,"84,512,810",W,"7,345,940",
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",MB,DO,612,1.42,,0.13,,236.92,,21,,11.12,,2.36,,"51,140,696",,"400,635,782",,"36,013,697",,"1,690,989",,"169,433,469",,"23,797,513",
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",DR,PT,332,3.50,,0.09,,51.54,,1,,37.26,,2.85,,"4,636,433",,"49,417,564",,"1,326,260",,"958,750",,"17,317,743",,"11,744,748",
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",MG,DO,21,0.00,,0.00,,330.12,,59,,5.59,,5.74,W,0,,"30,528,883",,"5,465,731",,"92,477",,"5,316,592",W,"943,270",
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",VP,PT,190,5.71,,1.67,,19.56,,6,,3.43,,0.11,,"1,987,879",,"1,191,874",,"347,865",,"60,931",,"10,995,755",,"2,774,589",
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,40429,"Houston, TX","5,853,575","1,328",RB,DO,8,0.15,,0.01,,127.08,,6,,21.52,,6.62,,"39,498",,"5,487,124",,"254,999",,"43,178",,"829,307",,"352,915",
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,40429,"Houston, TX","5,853,575","1,328",CB,PT,54,2.70,,0.23,,201.65,,17,,11.60,,0.50,,"2,190,017",,"9,391,160",,"809,848",,"46,572",,"18,843,985",,"1,403,423",
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,40429,"Houston, TX","5,853,575","1,328",LR,DO,46,0.21,,0.02,,413.58,,47,,8.81,,3.07,,"2,377,280",,"102,044,777",,"11,583,177",,"246,735",,"33,205,208",,"2,884,228",
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,40429,"Houston, TX","5,853,575","1,328",MB,DO,450,0.49,,0.05,,173.19,,16,,10.80,,1.88,,"16,064,934",,"353,945,277",,"32,772,899",,"2,043,688",,"188,633,815",,"26,366,843",
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,40429,"Houston, TX","5,853,575","1,328",DR,PT,336,1.07,,0.02,,75.06,,1,,51.68,,4.98,,"1,542,369",,"74,361,271",,"1,438,798",,"990,721",,"14,940,524",,"14,469,361",
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,40429,"Houston, TX","5,853,575","1,328",VP,DO,197,4.93,,0.50,,58.21,,6,,9.83,,0.32,,"1,961,315",,"3,907,780",,"397,674",,"67,136",,"12,266,273",,"2,351,354",
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,40429,"Houston, TX","5,853,575","1,328",MB,PT,133,0.53,,0.06,,124.80,,14,,9.05,,1.63,,"4,350,008",,"74,687,906",,"8,252,915",,"598,453",,"45,840,723",,"7,721,021",
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,40429,"Houston, TX","5,853,575","1,328",CB,DO,104,2.80,,0.14,,278.02,,14,,19.59,,0.95,,"5,051,286",,"35,392,535",,"1,806,386",,"127,302",,"37,386,141",,"3,257,278",
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,20078,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","1,149",MB,PT,9,1.54,,0.08,,97.69,,5,,18.33,,25.16,,"233,948",,"2,781,801",,"151,723",,"28,476",,"110,576",,"132,117",
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,20078,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","1,149",FB,PT,2,1.05,,0.02,,"1,044.22",,18,,58.49,,14.55,,"73,528",,"4,099,600",,"70,093",,"3,926",,"281,807",,"46,140",
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,20078,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","1,149",CR,DO,"1,138",8.22,,0.33,,660.46,,27,,24.83,,1.26,,"448,196,125",,"1,353,483,213",,"54,517,695",,"2,049,308",,"1,070,033,815",,"62,976,627",
MTA Bus Company,New York,NY,20188,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","1,134",MB,DO,"1,134",1.63,,0.21,,238.53,,30,,7.89,,2.74,,"163,430,063",,"792,516,861",,"100,411,771",,"3,322,535",,"289,073,775",,"25,876,153",
