Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Maintenance Facility (Service and Inspection),Heavy Maintenance & Overhaul (Backshop),General Purpose Maintenance Facility/Depot,Vehicle Washing Facility,Vehicle Blow-Down Facility,Vehicle Fueling Facility,Vehicle Testing Facility,Maintenance Facilities,Administrative Office / Sales Office,Revenue Collection Facility,Combined Administrative and Maintenance Facility,"Other, Administrative & Maintenance",Administrative and Other Non-Passenger Facilities,Bus Transfer Center,Elevated Fixed Guideway Station,At-Grade Fixed Guideway Station,Underground Fixed Guideway Station,Simple At-Grade Platform Station,Exclusive Grade-Separated Platform Station,Ferryboat Terminal,Passenger Stations and Terminals,Surface Parking Lot,Parking Structure,"Other, Passenger or Parking",Parking and Other Passenger Facilities,Total Facilities
Intercity Transit,Olympia,WA,00019,Independent Public Agency or Authority of Transit Service,Full Reporter,65242,"Olympia--Lacey, WA","208,157",240,1,0,0,0,0,0,0,1,1,0,0,0,1,3,0,1,0,0,0,0,4,2,0,0,2,8
Kitsap Transit,Bremerton,WA,00020,Independent Public Agency or Authority of Transit Service,Full Reporter,9946,"Bremerton, WA","224,449",218,1,0,1,0,0,0,0,2,1,0,1,2,4,3,0,0,0,0,0,5,8,7,0,2,9,23
Whatcom Transportation Authority,Bellingham,WA,00021,Independent Public Agency or Authority of Transit Service,Full Reporter,6652,"Bellingham, WA","128,979",96,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,4,0,0,0,0,5
"City of Seattle, dba: Seattle Center Monorail",Seattle,WA,00023,"City, County or Local Government Unit or Department of Transportation",Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011",8,1,0,0,0,0,0,0,1,1,0,0,2,3,0,2,0,0,0,0,0,2,0,0,0,0,6
Clark County Public Transportation Benefit Area Authority,Vancouver,WA,00024,Independent Public Agency or Authority of Transit Service,Full Reporter,71317,"Portland, OR--WA","2,104,238",159,3,0,0,1,0,1,0,5,1,0,0,0,1,3,0,0,0,0,0,0,3,1,0,0,1,10
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots",Salem,OR,00025,Independent Public Agency or Authority of Transit Service,Full Reporter,78229,"Salem, OR","268,331",149,1,0,0,0,0,0,0,1,2,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,5
"County of Pierce, dba: Pierce County Ferry",Tacoma,WA,00028,"City, County or Local Government Unit or Department of Transportation",Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,0,0,1,6
Snohomish County Public Transportation Benefit Area Corporation,Everett,WA,00029,Independent Public Agency or Authority of Transit Service,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011",481,0,0,0,4,0,1,0,5,6,2,4,5,17,14,1,1,0,65,1,0,82,20,1,0,21,125
Washington State Ferries,Olympia,WA,00035,State Government Unit or Department of Transportation,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011",17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,20
"Central Puget Sound Regional Transit Authority, dba: Sound Transit",Seattle,WA,00040,Independent Public Agency or Authority of Transit Service,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011",321,0,0,0,0,0,0,0,0,2,0,6,1,9,14,5,8,9,6,10,0,52,10,6,1,17,78
Alaska Railroad Corporation,Anchorage,AK,00041,State Government Unit or Department of Transportation,Full Reporter,2305,"Anchorage, AK","249,252",60,1,11,44,0,0,0,0,56,16,0,0,6,22,0,1,6,0,1,0,0,8,2,0,15,17,103
"Chelan Douglas PTBA , dba: Link Transit",Wenatchee,WA,00043,Independent Public Agency or Authority of Transit Service,Full Reporter,93862,"Wenatchee, WA","78,142",52,1,0,0,1,0,1,0,3,1,0,0,1,2,1,0,0,0,0,0,0,1,5,0,0,5,11
Skagit Transit,Burlington,WA,00044,Independent Public Agency or Authority of Transit Service,Full Reporter,60490,"Mount Vernon, WA","66,825",69,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,3,5,0,0,5,9
"City of Wilsonville, dba: South Metro Area Regional Transit",Wilsonville,OR,00046,"City, County or Local Government Unit or Department of Transportation",Full Reporter,71317,"Portland, OR--WA","2,104,238",19,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
Central Oregon Intergovernmental Council,Bend,OR,00057,"MPO, COG or Other Planning Agency",Full Reporter,6868,"Bend, OR","106,988",41,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,4
City of Portland,Portland,OR,00058,"City, County or Local Government Unit or Department of Transportation",Full Reporter,71317,"Portland, OR--WA","2,104,238",14,3,0,0,0,0,0,0,3,0,0,0,0,0,0,1,5,0,64,0,0,70,0,0,0,0,73
"Ride Connection, Inc.",Portland,OR,00376,Private-Non-Profit Corporation,Full Reporter,71317,"Portland, OR--WA","2,104,238",60,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Ada County Highway District, dba: ACHD Commuteride",Boise,ID,00415,"City, County or Local Government Unit or Department of Transportation",Full Reporter,8785,"Boise City, ID","433,180",81,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Rhode Island Public Transit Authority,Providence,RI,10001,Independent Public Agency or Authority of Transit Service,Full Reporter,72505,"Providence, RI--MA","1,285,806",286,1,0,1,0,0,0,0,2,0,0,3,0,3,1,0,0,0,0,0,0,1,0,0,0,0,6
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",29,13,91,0,0,7,0,140,66,3,44,174,287,2,23,60,36,7,130,1,259,115,10,1,126,812
Brockton Area Transit Authority,Brockton,MA,10004,Independent Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009",82,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,3
Lowell Regional Transit Authority,Lowell,MA,10005,Independent Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009",78,0,0,2,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,1,0,3,1,4,8
Southeastern Regional Transit Authority,New Bedford,MA,10006,Independent Public Agency or Authority of Transit Service,Full Reporter,61786,"New Bedford, MA","155,491",73,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,4
Berkshire Regional Transit Authority,Pittsfield,MA,10007,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,69778,"Pittsfield, MA","50,720",27,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
Pioneer Valley Transit Authority,Springfield,MA,10008,Independent Public Agency or Authority of Transit Service,Full Reporter,83926,"Springfield, MA--CT","442,145",209,1,0,3,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,6
Merrimack Valley Regional Transit Authority,Haverhill,MA,10013,Independent Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009",61,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,2,1,4,6
Worcester Regional Transit Authority,Worcester,MA,10014,Independent Public Agency or Authority of Transit Service,Full Reporter,97291,"Worcester, MA--CT","482,085",99,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3
Greater Portland Transit District,Portland,ME,10016,Independent Public Agency or Authority of Transit Service,Full Reporter,71263,"Portland, ME","205,356",30,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2
Greater Hartford Transit District,Hartford,CT,10017,Independent Public Agency or Authority of Transit Service,Full Reporter,37243,"Hartford, CT","977,158",128,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Southeast Area Transit District,Preston,CT,10040,Independent Public Agency or Authority of Transit Service,Full Reporter,64135,"Norwich--New London, CT","167,432",29,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
Valley Transit District,Derby,CT,10042,Independent Public Agency or Authority of Transit Service,Full Reporter,10162,"Bridgeport--Stamford, CT--NY","916,408",12,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Connecticut Department of Transportation - CTTransit New Britain -Dattco.,New Britain,CT,10045,Private Provider Reporting on Behalf of a Public Entity,Full Reporter,37243,"Hartford, CT","977,158",25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Hartford,CT,10048,State Government Unit or Department of Transportation,Full Reporter,37243,"Hartford, CT","977,158",229,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2
Greater New Haven Transit District,Hamden,CT,10049,Independent Public Agency or Authority of Transit Service,Full Reporter,62407,"New Haven, CT","561,456",51,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Greater Bridgeport Transit Authority,Bridgeport,CT,10050,Independent Public Agency or Authority of Transit Service,Full Reporter,10162,"Bridgeport--Stamford, CT--NY","916,408",58,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
Housatonic Area Regional Transit,Danbury,CT,10051,Independent Public Agency or Authority of Transit Service,Full Reporter,22096,"Danbury, CT--NY","171,680",43,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
Cape Ann Transportation Authority,Gloucester,MA,10053,Independent Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009",20,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Connecticut Department of Transportation - CTTRANSIT New Haven Division,Hartford,CT,10055,State Government Unit or Department of Transportation,Full Reporter,62407,"New Haven, CT","561,456",99,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Connecticut Department of Transportation - CTTRANSIT Stamford Division,Hartford,CT,10056,State Government Unit or Department of Transportation,Full Reporter,10162,"Bridgeport--Stamford, CT--NY","916,408",41,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Norwalk Transit District,Norwalk,CT,10057,Independent Public Agency or Authority of Transit Service,Full Reporter,10162,"Bridgeport--Stamford, CT--NY","916,408",57,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Montachusett Regional Transit Authority,Fitchburg,MA,10061,Independent Public Agency or Authority of Transit Service,Full Reporter,49096,"Leominster--Fitchburg, MA","111,790",493,0,0,1,0,0,0,0,1,1,0,3,2,6,1,0,0,0,0,0,0,1,1,3,0,4,12
Greater Attleboro-Taunton Regional Transit Authority,Taunton,MA,10064,Independent Public Agency or Authority of Transit Service,Full Reporter,72505,"Providence, RI--MA","1,285,806",104,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,4
Green Mountain Transit Authority,Burlington,VT,10066,Independent Public Agency or Authority of Transit Service,Full Reporter,11755,"Burlington, VT","118,032",134,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,2,0,0,0,0,4
Cooperative Alliance for Seacoast Transportation,Dover,NH,10086,Independent Public Agency or Authority of Transit Service,Full Reporter,24607,"Dover--Rochester, NH--ME","72,391",23,1,0,0,0,0,0,0,1,1,0,0,0,1,2,0,1,0,0,0,0,3,1,0,0,1,6
"City of Nashua, dba: Nashua Transit System",Nashua,NH,10087,"City, County or Local Government Unit or Department of Transportation",Full Reporter,61165,"Nashua, NH--MA","242,984",14,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3
Casco Bay Island Transit District,Portland,ME,10088,Independent Public Agency or Authority of Transit Service,Full Reporter,71263,"Portland, ME","205,356",4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2
"Western Maine Transportation Services, Inc.",Auburn,ME,10098,Independent Public Agency or Authority of Transit Service,Full Reporter,49339,"Lewiston, ME","60,743",41,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Connecticut Department of Transportation,Newington,CT,10102,State Government Unit or Department of Transportation,Full Reporter,37243,"Hartford, CT","977,158",28,6,2,3,1,2,2,0,16,3,0,3,0,6,0,0,28,0,12,7,0,47,43,5,1,49,118
Cape Cod Regional Transit Authority,Hyannis,MA,10105,Independent Public Agency or Authority of Transit Service,Full Reporter,5167,"Barnstable Town, MA","303,269",133,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
Milford Transit District,Milford,CT,10107,Independent Public Agency or Authority of Transit Service,Full Reporter,10162,"Bridgeport--Stamford, CT--NY","916,408",11,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Northern New England Passenger Rail Authority,Portland,ME,10115,Independent Public Agency or Authority of Transit Service,Full Reporter,71263,"Portland, ME","205,356",21,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,17
MetroWest Regional Transit Authority,Framingham,MA,10118,Independent Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009",80,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Connecticut Department of Transportation- CTTransit Waterbury- NET,Watertown,CT,10128,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,92485,"Waterbury, CT","199,317",63,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Connecticut Department of Transportation -CTTRANSIT New Britain,Berlin,CT,10130,Private Provider Reporting on Behalf of a Public Entity,Full Reporter,37243,"Hartford, CT","977,158",13,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority",Falmouth,MA,10183,Independent Public Agency or Authority of Transit Service,Full Reporter,5167,"Barnstable Town, MA","303,269",22,0,1,3,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,5,5,9,0,0,9,19
Rhode Island Department of Transportation,Providence,RI,11147,State Government Unit or Department of Transportation,Full Reporter,72505,"Providence, RI--MA","1,285,806",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2
"Bay State LLC, dba: Bay State Cruise Company",Boston,MA,11238,Private-For-Profit Corporation,Full Reporter,9271,"Boston, MA--NH","4,382,009",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2
"Hyannis Harbor Tours, Inc.",Hyannis,MA,11239,Private-For-Profit Corporation,Full Reporter,5167,"Barnstable Town, MA","303,269",4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,3,0,0,0,0,4
Capital District Transportation Authority,Albany,NY,20002,Independent Public Agency or Authority of Transit Service,Full Reporter,970,"Albany--Schenectady, NY","593,142",323,0,0,0,0,0,0,0,0,1,0,3,0,4,0,0,2,0,0,0,0,2,0,0,0,0,6
"Broome County, dba: Department of Transportation/BC Transit",Binghamton,NY,20003,"City, County or Local Government Unit or Department of Transportation",Full Reporter,7732,"Binghamton, NY","155,942",50,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
Niagara Frontier Transportation Authority,Buffalo,NY,20004,Independent Public Agency or Authority of Transit Service,Full Reporter,11350,"Buffalo, NY","948,864",294,0,0,4,0,0,0,0,4,0,0,0,2,2,9,0,0,8,11,0,0,28,0,0,4,4,38
City of Long Beach,Long Beach,NY,20006,"City, County or Local Government Unit or Department of Transportation",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",7,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
MTA New York City Transit,Brooklyn,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","10,019",15,15,22,8,0,0,0,60,6,1,0,39,46,2,154,37,281,0,0,0,474,0,0,0,0,580
"Dutchess County, dba: Dutchess County Public Transit",Poughkeepsie,NY,20010,"City, County or Local Government Unit or Department of Transportation",Full Reporter,71803,"Poughkeepsie--Newburgh, NY","314,766",47,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Central New York Regional Transportation Authority, dba: New York Regional Transportation Authority",Syracuse,NY,20018,Independent Public Agency or Authority of Transit Service,Full Reporter,86302,"Syracuse, NY","413,660",214,0,0,1,0,0,0,0,1,0,0,4,0,4,4,0,0,0,0,0,0,4,0,0,0,0,9
"Town of Huntington, dba: Huntington Area Rapid Transit",Huntington,NY,20071,"City, County or Local Government Unit or Department of Transportation",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",18,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,3
"Suffolk County , dba: Dept of Public Works - Transportation Division",Yaphank,NY,20072,"City, County or Local Government Unit or Department of Transportation",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",255,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Port Authority Transit Corporation,Camden,NJ,20075,Independent Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125",60,1,1,2,1,1,0,0,6,1,0,1,0,2,0,2,0,6,0,5,0,13,8,0,0,8,29
"Westchester County, dba: The Bee-Line System",White Plains,NY,20076,"City, County or Local Government Unit or Department of Transportation",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",366,0,1,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,4
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,20078,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","1,149",4,0,4,1,0,0,0,9,7,0,5,0,12,0,3,106,1,6,7,4,127,87,8,1,96,244
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",37,0,2,0,0,1,0,40,10,0,7,44,61,26,59,223,13,79,0,0,400,2,0,2,4,505
New York City Department of Transportation,New York,NY,20082,"City, County or Local Government Unit or Department of Transportation",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",13,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,0,0,7,7,0,0,0,0,10
"County of Rockland , dba: Public Transportation - Transport of Rockland",New City,NY,20084,"City, County or Local Government Unit or Department of Transportation",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",53,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,2
"Putnam County , dba: Putnam Area Rapid Transit",Carmel,NY,20096,"City, County or Local Government Unit or Department of Transportation",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",13,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Port Authority Trans-Hudson Corporation,New York,NY,20098,Independent Public Agency or Authority of Transit Service,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",274,0,1,2,1,0,0,0,4,0,0,0,1,1,0,2,0,11,0,0,0,13,0,0,0,0,18
"Staten Island Rapid Transit Operating Authority, dba:  MTA Staten Island Railway",Staten Island,NY,20099,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",44,3,0,0,0,0,0,0,3,0,0,2,4,6,0,0,21,0,0,0,0,21,4,0,0,4,34
MTA Long Island Rail Road,Jamaica,NY,20100,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",908,15,0,6,3,0,0,0,24,8,0,0,20,28,0,20,1,3,102,0,0,126,540,9,0,549,727
"Regional Transit Service - Monroe County, dba: RTS Monroe (MB) and RTS Access (DR)",Rochester,NY,20113,Independent Public Agency or Authority of Transit Service,Full Reporter,75664,"Rochester, NY","704,327",240,0,0,2,1,0,0,0,3,1,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,6
"Academy Lines, Inc.",Hoboken,NJ,20122,Private-For-Profit Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",134,0,0,3,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,5
"Hudson Transit Lines, Inc.",Mahwah,NJ,20126,Private-For-Profit Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",74,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,5
Suburban Transit Corporation,New Brunswick,NJ,20128,Private-For-Profit Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",34,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,2,0,0,0,0,3
Monsey New Square Trails Corporation,Spring Valley,NY,20135,Private-For-Profit Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",32,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tompkins Consolidated Area Transit,Ithaca,NY,20145,Private-Non-Profit Corporation,Full Reporter,41914,"Ithaca, NY","59,102",48,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,1,0,0,0,0,3
"Rockland Coaches, Inc.",Westwood,NJ,20149,Private-For-Profit Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",33,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,2,0,0,0,0,3
DeCamp Bus Lines,Montclair,NJ,20161,Private-For-Profit Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",14,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Lakeland Bus Lines, Inc.",Dover,NJ,20163,Private-For-Profit Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",36,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
"Orange-Newark-Elizabeth, Inc.",Elizabeth,NJ,20166,Private-For-Profit Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",34,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
"Trans-Bridge Lines, Inc.",Bethlehem,PA,20169,Private-For-Profit Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",16,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,3,0,0,0,0,4
Private Transportation Corporation,Brooklyn,NY,20175,Private-For-Profit Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",6,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Adirondack Transit Lines, Inc,",Hurley,NY,20177,Private-For-Profit Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",13,0,0,2,0,0,0,0,2,1,0,0,0,1,10,0,0,0,0,0,0,10,0,0,0,0,13
