NTD ID,Agency,Reporter Type,Organization Type,City,State,Agency VOMS,Mode,Type Of Service,Mode VOMS,UACE Code,UZA Name,Primary UZA Area Sq Miles,Primary  UZA Population,Service Area Sq Miles,Service Area Population,Questionable Data,Time Period,Time Service Begins,Time Service Ends,Actual Vehicle/Passenger Car Miles,Actual Vehicle/Passenger Car Revenue Miles,Actual Vehicle/ Passenger Deadhead Miles,Scheduled Vehicle/Passenger Car Revenue Miles,Actual Vehicles/ Passenger Car Hours,Actual Vehicle/Passenger Car Revenue Hours,Actual Vehicle/Passenger Car Deadhead Hours,Charter Service Hours,School Bus Hours,Trains In Operation,Train Miles,Train Revenue Miles,Train Deadhead Miles,Train Hours,Train Revenue Hours,Train Deadhead Hours,Unlinked Passenger Trips (UPT),ADA UPT,Sponsored Service UPT,Passenger Miles Traveled,Directional Route Miles,Days Of Service Operated,Days Not Operated - Strikes,Days Not Operated - Emergencies,Average Revenue Speed,Average Passenger Trip Length (APTL),Passengers per Vehicle Revenue Hour
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,Independent Public Agency or Authority of Transit Service,Lakewood,WA,382,DR,PT,60,"80,389","Seattle--Tacoma, WA",982.52,"3,544,011",292,"575,963",,Annual Total,,,"1,662,246","1,438,251","223,995",0,"118,497","103,888","14,609",,,0,0,0,,0,0,,"177,331","152,662",,"1,366,194",0,,,,13.8442,7.7042,1.7069
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,Independent Public Agency or Authority of Transit Service,Lakewood,WA,382,DR,DO,17,"80,389","Seattle--Tacoma, WA",982.52,"3,544,011",292,"575,963",,Annual Total,,,"319,918","279,427","40,491",0,"22,837","20,139","2,698",,,0,0,0,,0,0,,"37,778","33,363",,"277,604",0,,,,13.8749,7.3483,1.8759
00004,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,Nespelem,WA,5,MB,DO,4,53,Washington Non-UZA,0,"1,895,776",,,,Annual Total,,,0,"56,574",0,0,0,"1,920",0,,,0,0,0,,0,0,,"2,967",,,0,0,,,,29.4656,,1.5453
00004,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,Nespelem,WA,5,FB,DO,1,53,Washington Non-UZA,0,"1,895,776",,,,Annual Total,,,0,"20,048",0,0,0,"5,370",0,,,0,0,0,,0,0,,"132,972",,,0,0,,,,3.7333,,24.762
00005,"City of Everett, dba: EVERETT TRANSIT",Full Reporter,"City, County or Local Government Unit or Department of Transportation",Everett,WA,42,MB,DO,27,"80,389","Seattle--Tacoma, WA",982.52,"3,544,011",34,"110,629",,Annual Total,,,"1,254,169","1,115,803","138,366","1,116,801","98,999","92,765","6,234",0,0,0,0,0,,0,0,,"1,007,952",,,"3,815,254",0,,,,12.0283,3.7852,10.8656
00005,"City of Everett, dba: EVERETT TRANSIT",Full Reporter,"City, County or Local Government Unit or Department of Transportation",Everett,WA,42,DR,DO,15,"80,389","Seattle--Tacoma, WA",982.52,"3,544,011",34,"110,629",,Annual Total,,,"370,833","330,335","40,498",0,"30,277","27,928","2,349",,,0,0,0,,0,0,,"64,329","55,809",,"326,632",0,,,,11.8281,5.0775,2.3034
00006,"City of Yakima, dba: Yakima Transit",Full Reporter,"City, County or Local Government Unit or Department of Transportation",Yakima,WA,44,MB,DO,18,"97,507","Yakima, WA",55.77,"133,145",33,"100,715",Y,Annual Total,,,"729,446","710,402","19,044","721,321","61,784","60,425","1,359",0,0,0,0,0,,0,0,,"454,913",,,"1,910,826",0,,,,11.7568,4.2004,7.5286
00006,"City of Yakima, dba: Yakima Transit",Full Reporter,"City, County or Local Government Unit or Department of Transportation",Yakima,WA,44,DR,PT,24,"97,507","Yakima, WA",55.77,"133,145",33,"100,715",,Annual Total,,,"276,112","258,268","17,844",0,"29,401","27,932","1,469",0,0,0,0,0,,0,0,,"40,196","40,196",0,"142,112",0,,,,9.2463,3.5355,1.4391
00006,"City of Yakima, dba: Yakima Transit",Full Reporter,"City, County or Local Government Unit or Department of Transportation",Yakima,WA,44,CB,PT,2,"97,507","Yakima, WA",55.77,"133,145",33,"100,715",,Annual Total,,,"148,205","146,393","1,812","149,427","4,603","4,444",159,0,0,0,0,0,,0,0,,"18,375",,,"606,482",0,,,,32.9417,33.0058,4.1348
00007,Lane Transit District,Full Reporter,Independent Public Agency or Authority of Transit Service,Eugene,OR,120,DR,PT,18,"28,117","Eugene, OR",73.49,"270,179",482,"317,600",,Annual Total,,,"604,623","532,634","71,989",0,"46,929","37,721","9,208",,,0,0,0,,0,0,,"75,978","65,152",,"506,384",0,,,,14.1204,6.6649,2.0142
00007,Lane Transit District,Full Reporter,Independent Public Agency or Authority of Transit Service,Eugene,OR,120,VP,PT,5,"28,117","Eugene, OR",73.49,"270,179",482,"317,600",,Annual Total,,,"79,669","79,669",0,0,"1,482","1,482",0,,,0,0,0,,0,0,,"6,548",,,"359,527",0,,,,53.7578,54.9064,4.4184
00007,Lane Transit District,Full Reporter,Independent Public Agency or Authority of Transit Service,Eugene,OR,120,RB,DO,13,"28,117","Eugene, OR",73.49,"270,179",482,"317,600",Y,Annual Total,,,"738,685","718,396","20,289","719,024","63,563","62,801",762,,,0,0,0,,0,0,,"2,144,978",,,"5,413,539",56.04,,,,11.4392,2.5238,34.1552
00007,Lane Transit District,Full Reporter,Independent Public Agency or Authority of Transit Service,Eugene,OR,120,MB,PT,2,"28,117","Eugene, OR",73.49,"270,179",482,"317,600",,Annual Total,,,"99,159","98,038","1,121","100,449","4,854","4,704",150,,,0,0,0,,0,0,,"10,102",,,"261,147",0,,,,20.8414,25.851,2.1475
00007,Lane Transit District,Full Reporter,Independent Public Agency or Authority of Transit Service,Eugene,OR,120,MB,DO,52,"28,117","Eugene, OR",73.49,"270,179",482,"317,600",Y,Annual Total,,,"2,286,285","2,073,463","212,822","2,227,230","177,963","165,484","12,479",,,0,0,0,,0,0,,"2,830,785",,,"10,614,948",0,,,,12.5297,3.7498,17.1061
00007,Lane Transit District,Full Reporter,Independent Public Agency or Authority of Transit Service,Eugene,OR,120,DR,TX,30,"28,117","Eugene, OR",73.49,"270,179",482,"317,600",,Annual Total,,,0,"2,008,272",0,0,0,"87,617",0,,,0,0,0,,0,0,,"227,823",,"227,823","2,356,332",0,,,,22.921,10.3428,2.6002
00008,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Independent Public Agency or Authority of Transit Service,Portland,OR,753,LR,DO,94,"71,317","Portland, OR--WA",519.3,"2,104,238",383,"1,558,315",,Annual Total,,,"8,287,319","8,232,882","54,437","8,415,171","595,251","589,271","5,980",,,0,"4,144,871","4,117,644","27,227","297,708","294,717","2,991","18,589,527",,,"100,621,469",237.82,,,,13.9713,5.4128,31.5467
00008,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Independent Public Agency or Authority of Transit Service,Portland,OR,753,YR,PT,4,"71,317","Portland, OR--WA",519.3,"2,104,238",383,"1,558,315",,Annual Total,,,"105,345","103,837","1,508","103,895","5,785","5,095",690,,,0,"75,062","73,953","1,109","4,131","3,623",508,"103,198",,,"836,725",58.44,,,,20.3802,8.108,20.2548
00008,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Independent Public Agency or Authority of Transit Service,Portland,OR,753,DR,PT,138,"71,317","Portland, OR--WA",519.3,"2,104,238",383,"1,558,315",,Annual Total,,,"4,128,062","3,473,936","654,126",0,"292,211","251,217","40,994",0,0,0,0,0,,0,0,,"401,752","401,752",0,"3,193,320",0,,,,13.8284,7.9485,1.5992
00008,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Independent Public Agency or Authority of Transit Service,Portland,OR,753,DR,TX,19,"71,317","Portland, OR--WA",519.3,"2,104,238",383,"1,558,315",,Annual Total,,,0,"399,352",0,0,0,"16,093",0,,,0,0,0,,0,0,,"36,172","36,172",0,"438,230",0,0,0,0,24.8153,12.1152,2.2477
00008,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Independent Public Agency or Authority of Transit Service,Portland,OR,753,MB,DO,498,"71,317","Portland, OR--WA",519.3,"2,104,238",383,"1,558,315",,Annual Total,,,"23,551,465","20,225,984","3,325,481","20,330,541","1,987,404","1,851,028","136,376",0,0,0,0,0,,0,0,,"30,484,694",,,"96,334,242",15.22,,,,10.9269,3.1601,16.4691
00009,Kalispel Tribe of Indians,Reduced Reporter,Tribe,Cusick,WA,1,MB,DO,1,53,Washington Non-UZA,0,"1,895,776",,,,Annual Total,,,0,"25,943",0,0,0,788,0,,,0,0,0,,0,0,,"1,208",,,0,0,,,,32.9226,,1.533
00010,Klamath Tribes,Reduced Reporter,Tribe,Chiloquin,OR,7,CB,DO,3,41,Oregon Non-UZA,0,"1,553,447",0,0,,Annual Total,,,0,"86,203",0,0,0,"3,687",0,,,0,0,0,,0,0,,"6,586",,,0,0,,,,23.3803,,1.7863
00010,Klamath Tribes,Reduced Reporter,Tribe,Chiloquin,OR,7,DR,DO,4,41,Oregon Non-UZA,0,"1,553,447",0,0,,Annual Total,,,0,"74,775",0,0,0,"2,903",0,,,0,0,0,,0,0,,"1,905",,0,0,0,,,,25.7578,,0.6562
00011,Valley Regional Transit,Full Reporter,Independent Public Agency or Authority of Transit Service,Meridian,ID,70,DR,PT,32,"8,785","Boise City, ID",139.23,"433,180",66,"763,140",,Annual Total,,,"740,039","632,694","107,345",0,"48,635","41,325","7,310",0,0,0,0,0,,0,0,,"108,138","28,378",0,"629,159",0,,,,15.3102,5.8181,2.6168
00011,Valley Regional Transit,Full Reporter,Independent Public Agency or Authority of Transit Service,Meridian,ID,70,MB,PT,38,"8,785","Boise City, ID",139.23,"433,180",66,"763,140",,Annual Total,,,"1,562,238","1,398,420","163,818","1,399,854","90,772","81,127","9,645",0,0,0,0,0,,0,0,,"917,730",,,"3,499,140",0,,,,17.2374,3.8128,11.3123
00012,"Municipality of Anchorage, dba: Public Transportation",Full Reporter,"City, County or Local Government Unit or Department of Transportation",Anchorage,AK,168,DR,PT,33,"2,305","Anchorage, AK",91.69,"249,252",77,"291,247",,Annual Total,,,"806,680","719,394","87,286",0,"68,930","55,798","13,132",0,0,0,0,0,,0,0,,"129,261","49,652",0,"787,529",0,,,,12.8928,6.0925,2.3166
00012,"Municipality of Anchorage, dba: Public Transportation",Full Reporter,"City, County or Local Government Unit or Department of Transportation",Anchorage,AK,168,VP,PT,88,"2,305","Anchorage, AK",91.69,"249,252",77,"291,247",,Annual Total,,,"1,582,484","1,582,484",0,0,"32,813","32,813",0,,,0,0,0,,0,0,,"189,684",,,"7,799,636",0,,,,48.2273,41.1191,5.7808
00012,"Municipality of Anchorage, dba: Public Transportation",Full Reporter,"City, County or Local Government Unit or Department of Transportation",Anchorage,AK,168,MB,DO,47,"2,305","Anchorage, AK",91.69,"249,252",77,"291,247",Y,Annual Total,,,"2,444,711","2,280,229","164,482","2,282,927","199,443","191,421","8,022",,,0,0,0,,0,0,,"2,412,726",,,"10,342,197",0,,,,11.9121,4.2865,12.6043
00014,Sitka Tribe of Alaska,Reduced Reporter,Tribe,Sitka,AK,2,MB,DO,2,2,Alaska Non-UZA,0,"359,299",0,0,,Annual Total,,,0,"95,045",0,0,0,"7,692",0,,,0,0,0,,0,0,,"39,789",,,0,0,,,,12.3563,,5.1728
00015,Snoqualmie Indian Tribe,Reduced Reporter,Tribe,Snoqualmie,WA,3,DR,DO,3,53,Washington Non-UZA,0,"1,895,776",,,,Annual Total,,,0,337,0,0,0,34,0,,,0,0,0,,0,0,,15,,15,0,0,,,,9.9118,,0.4412
00016,RiverCities Transit,Full Reporter,"City, County or Local Government Unit or Department of Transportation",Longview,WA,21,MB,DO,10,"51,283","Longview, WA--OR",35.19,"69,841",31,"61,598",,Annual Total,,,"360,879","347,971","12,908","352,023","28,149","26,908","1,241",0,0,0,0,0,,0,0,,"205,740",,,"880,567",0,,,,12.9319,4.28,7.6461
00016,RiverCities Transit,Full Reporter,"City, County or Local Government Unit or Department of Transportation",Longview,WA,21,DR,PT,10,"51,283","Longview, WA--OR",35.19,"69,841",31,"61,598",,Annual Total,,,"141,554","126,768","14,786",0,"16,964","15,285","1,679",,,0,0,0,,0,0,,"30,214","30,214",0,"92,627",0,,,,8.2936,3.0657,1.9767
00016,RiverCities Transit,Full Reporter,"City, County or Local Government Unit or Department of Transportation",Longview,WA,21,CB,DO,1,"51,283","Longview, WA--OR",35.19,"69,841",31,"61,598",,Annual Total,,,"8,896","8,571",325,0,316,264,52,0,0,0,0,0,,0,0,,521,,,"6,252",0,,,,32.4659,12,1.9735
00017,Stillaguamish Tribe of Indians,Reduced Reporter,Tribe,Arlington,WA,5,DR,DO,5,53,Washington Non-UZA,0,"1,895,776",,,,Annual Total,,,0,"37,740",0,0,0,"1,156",0,,,0,0,0,,0,0,,"6,342",,"2,081",0,0,,,,32.6471,,5.4862
00018,Ben Franklin Transit,Full Reporter,Independent Public Agency or Authority of Transit Service,Richland,WA,268,DR,DO,65,"44,479","Kennewick--Richland--Pasco, WA",112.21,"255,401",616,"307,750",,Annual Total,,,"1,801,602","1,576,144","225,458",0,"109,243","99,590","9,653",0,0,0,0,0,,0,0,,"217,530","215,055",,"1,651,440",0,,,,15.8263,7.5918,2.1843
00018,Ben Franklin Transit,Full Reporter,Independent Public Agency or Authority of Transit Service,Richland,WA,268,DR,PT,35,"44,479","Kennewick--Richland--Pasco, WA",112.21,"255,401",616,"307,750",Y,Annual Total,,,"1,251,048","1,101,253","149,795",0,"61,661","51,005","10,656",0,0,0,0,0,,0,0,,"153,786","30,094",0,"681,432",0,,,,21.5911,4.431,3.0151
00018,Ben Franklin Transit,Full Reporter,Independent Public Agency or Authority of Transit Service,Richland,WA,268,VP,DO,117,"44,479","Kennewick--Richland--Pasco, WA",112.21,"255,401",616,"307,750",,Annual Total,,,"1,495,493","1,495,493",0,0,"34,435","34,435",0,,,0,0,0,,0,0,,"244,427",,,"8,481,180",0,,,,43.4294,34.6982,7.0982
00018,Ben Franklin Transit,Full Reporter,Independent Public Agency or Authority of Transit Service,Richland,WA,268,MB,DO,51,"44,479","Kennewick--Richland--Pasco, WA",112.21,"255,401",616,"307,750",Y,Annual Total,,,"3,626,525","3,456,000","170,525","3,440,809","222,901","215,815","7,086",0,0,0,0,0,,0,0,,"1,781,820",,,"7,501,462",0,,,,16.0137,4.21,8.2562
00019,Intercity Transit,Full Reporter,Independent Public Agency or Authority of Transit Service,Olympia,WA,240,MB,DO,46,"65,242","Olympia--Lacey, WA",106.21,"208,157",101,"198,000",,Annual Total,,,"2,606,483","2,511,636","94,847","2,754,480","195,512","190,084","5,428",0,0,0,0,0,,0,0,,"2,885,836",,,"10,526,715",0,,,,13.2133,3.6477,15.1819
00019,Intercity Transit,Full Reporter,Independent Public Agency or Authority of Transit Service,Olympia,WA,240,DR,DO,45,"65,242","Olympia--Lacey, WA",106.21,"208,157",101,"198,000",,Annual Total,,,"987,078","821,521","165,557",0,"101,818","78,956","22,862",0,0,0,0,0,,0,0,,"130,004","126,841",0,"727,929",0,,,,10.4048,5.5993,1.6465
00019,Intercity Transit,Full Reporter,Independent Public Agency or Authority of Transit Service,Olympia,WA,240,CB,DO,2,"65,242","Olympia--Lacey, WA",106.21,"208,157",101,"198,000",,Annual Total,,,"222,671","219,341","3,330","224,781","9,561","9,308",253,0,0,0,0,0,,0,0,,"82,960",,,"1,632,015",0,,,,23.5648,19.6723,8.9128
00019,Intercity Transit,Full Reporter,Independent Public Agency or Authority of Transit Service,Olympia,WA,240,VP,DO,147,"65,242","Olympia--Lacey, WA",106.21,"208,157",101,"198,000",,Annual Total,,,"2,230,425","2,230,425",0,0,"50,994","50,994",0,,,0,0,0,,0,0,,"212,856",,,"10,068,281",0,,,,43.739,47.3009,4.1741
00020,Kitsap Transit,Full Reporter,Independent Public Agency or Authority of Transit Service,Bremerton,WA,218,FB,DO,6,"9,946","Bremerton, WA",146.91,"224,449",396,"254,183",,Annual Total,,,"277,795","264,357","13,438","267,601","15,706","14,889",817,0,,0,0,0,,0,0,,"794,789",,,"8,099,750",197.88,,,,17.7552,10.1911,53.381
00020,Kitsap Transit,Full Reporter,Independent Public Agency or Authority of Transit Service,Bremerton,WA,218,DR,DO,73,"9,946","Bremerton, WA",146.91,"224,449",396,"254,183",,Annual Total,,,"1,372,321","1,183,082","189,239",0,"88,795","76,822","11,973",0,0,0,0,0,,0,0,,"224,028","224,028",0,"1,335,850",0,,,,15.4003,5.9629,2.9162
00020,Kitsap Transit,Full Reporter,Independent Public Agency or Authority of Transit Service,Bremerton,WA,218,DR,TX,2,"9,946","Bremerton, WA",146.91,"224,449",396,"254,183",,Annual Total,,,0,"38,681",0,0,0,"1,239",0,,,0,0,0,,0,0,,"3,199","3,199",0,"39,624",0,0,0,0,31.2195,12.3864,2.5819
00020,Kitsap Transit,Full Reporter,Independent Public Agency or Authority of Transit Service,Bremerton,WA,218,VP,DO,45,"9,946","Bremerton, WA",146.91,"224,449",396,"254,183",,Annual Total,,,"484,203","484,203",0,0,"16,139","16,139",0,0,0,0,0,0,,0,0,,"75,487",,,"1,513,991",0,,,,30.002,20.0563,4.6773
00020,Kitsap Transit,Full Reporter,Independent Public Agency or Authority of Transit Service,Bremerton,WA,218,MB,DO,92,"9,946","Bremerton, WA",146.91,"224,449",396,"254,183",,Annual Total,,,"2,578,652","2,138,930","439,722","2,160,634","128,635","108,513","20,122",0,0,0,0,0,,0,0,,"1,103,948",,,"5,824,210",0,,,,19.7113,5.2758,10.1734
00021,Whatcom Transportation Authority,Full Reporter,Independent Public Agency or Authority of Transit Service,Bellingham,WA,96,DR,DO,41,"6,652","Bellingham, WA",50.13,"128,979",776,"225,928",,Annual Total,,,"1,003,528","872,046","131,482",0,"77,801","69,188","8,613",,,0,0,0,,0,0,,"168,956","154,428",0,"826,807",0,,,,12.604,4.8936,2.442
00021,Whatcom Transportation Authority,Full Reporter,Independent Public Agency or Authority of Transit Service,Bellingham,WA,96,MB,DO,47,"6,652","Bellingham, WA",50.13,"128,979",776,"225,928",Y,Annual Total,,,"2,293,057","2,133,859","159,198","2,134,716","166,178","157,245","8,933",,,0,0,0,,0,0,,"2,913,033",,,"8,485,521",0,,,,13.5703,2.913,18.5254
00021,Whatcom Transportation Authority,Full Reporter,Independent Public Agency or Authority of Transit Service,Bellingham,WA,96,VP,DO,8,"6,652","Bellingham, WA",50.13,"128,979",776,"225,928",,Annual Total,,,"115,097","115,097",0,0,"2,145","2,145",0,,,0,0,0,,0,0,,"19,991",,,"682,081",0,,,,53.6583,34.1194,9.3198
00022,"City of Pocatello, dba: Pocatello Regional Transit",Reduced Reporter,"City, County or Local Government Unit or Department of Transportation",Pocatello,ID,24,DR,DO,13,"70,426","Pocatello, ID",27.46,"72,211","5,460","175,045",,Annual Total,,,0,"326,552",0,0,0,"18,977",0,,,0,0,0,,0,0,,"58,919",,"23,346",0,0,,,,17.2078,,3.1048
00022,"City of Pocatello, dba: Pocatello Regional Transit",Reduced Reporter,"City, County or Local Government Unit or Department of Transportation",Pocatello,ID,24,MB,DO,11,"70,426","Pocatello, ID",27.46,"72,211","5,460","175,045",,Annual Total,,,0,"258,832",0,0,0,"16,245",0,,,0,0,0,,0,0,,"126,544",,,0,0,,,,15.933,,7.7897
00023,"City of Seattle, dba: Seattle Center Monorail",Full Reporter,"City, County or Local Government Unit or Department of Transportation",Seattle,WA,8,MG,PT,8,"80,389","Seattle--Tacoma, WA",982.52,"3,544,011",83,"753,655",,Annual Total,,,"228,303","228,303",0,"228,303","21,196","21,196",0,,,0,"57,076","57,076",0,"5,299","5,299",0,"1,633,951",,,"1,470,556",3.6,,,,10.771,0.9,77.0877
00024,Clark County Public Transportation Benefit Area Authority,Full Reporter,Independent Public Agency or Authority of Transit Service,Vancouver,WA,159,VP,DO,16,"71,317","Portland, OR--WA",519.3,"2,104,238",143,"445,744",,Annual Total,,,"142,089","142,089",0,0,"4,277","4,277",0,0,0,0,0,0,,0,0,,"22,608",,,"543,831",0,,,,33.2217,24.0548,5.2859
00024,Clark County Public Transportation Benefit Area Authority,Full Reporter,Independent Public Agency or Authority of Transit Service,Vancouver,WA,159,MB,DO,95,"71,317","Portland, OR--WA",519.3,"2,104,238",143,"445,744",,Annual Total,,,"4,200,301","3,726,686","473,615","3,755,311","280,418","262,598","17,820",0,0,0,0,0,,0,0,,"3,796,727",,,"17,823,584",6.7,,,,14.1916,4.6945,14.4583
00024,Clark County Public Transportation Benefit Area Authority,Full Reporter,Independent Public Agency or Authority of Transit Service,Vancouver,WA,159,DR,DO,48,"71,317","Portland, OR--WA",519.3,"2,104,238",143,"445,744",,Annual Total,,,"1,535,480","1,361,528","173,952",0,"91,016","79,277","11,739",0,0,0,0,0,,0,0,,"185,296","185,296",0,"1,376,737",0,,,,17.1743,7.4299,2.3373
00025,"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots",Full Reporter,Independent Public Agency or Authority of Transit Service,Salem,OR,149,MB,PT,11,"78,229","Salem, OR",72.68,"268,331",68,"230,118",,Annual Total,,,"519,027","451,728","67,299","452,262","26,142","21,726","4,416",0,0,0,0,0,,0,0,,"63,368",,,"897,073",0,,,,20.792,14.1566,2.9167
