Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,TOS,Mode VOMS,Diesel (gal),Diesel (gal) Questionable,Gasoline (gal),Gasoline (gal) Questionable,Liquefied Petroleum Gas (gal equivalent),Liquefied Petroleum Gas (gal equivalent) Questionable,Compressed Natural Gas (gal equivalent),Compressed Natural Gas (gal equivalent) Questionable,Bio-Diesel (gal),Bio-Diesel (gal) Questionable,Hydrogen (kg),Hydrogen (kg) Questionable,Other Fuel (gal/gal equivalent),Other Fuel (gal/gal equivalent) Questionable,Electric Propulsion (kWh),Electric Propulsion (kWh) Questionable,Electric Battery (kWh),Electric Battery (kWh) Questionable,Diesel (miles),Diesel Questionable,Gasoline (miles),Gasoline Questionable,Liquefied Petroleum Gas (miles),Liquefied Petroleum Gas Questionable,Compressed Natural Gas (miles),Compressed Natural Gas Questionable,Hydrogen (miles),Hydrogen Questionable,Other Fuel (miles),Other Fuel Questionable,Electric Propulsion (miles),Electric Propulsion Questionable,Electric Battery (miles),Electric Battery Questionable,Diesel (mpg),Diesel (mpg) Questionable,Gasoline (mpg),Gasoline (mpg) Questionable,Liquefied Petroleum Gas (mpg),Liquefied Petroleum Gas (mpg) Questionable,Compressed Natural Gas (mpg),Compressed Natural Gas (mpg) Questionable,Hydrogen (mpkg),Hydrogen (mpkg) Questionable,Other Fuel (mpg),Other Fuel (mpg) Questionable,Electric Propulsion (mi/kWh),Electric Propulsion (mi/kWh) Questionable,Electric Battery (mi/kWh),Electric Battery (mi/kWh) Questionable
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",DR,PT,340,0,,"1,761,034",,0,,0,,0,,0,,0,,0,,0,,0,,"16,052,645",,0,,0,,0,,0,,0,,0,,,,9.12,,,,,,,,,,,,,
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",VP,PT,50,0,,"44,867",,0,,0,,0,,0,,0,,0,,0,,0,,"765,035",,0,,0,,0,,0,,0,,0,,,,17.05,,,,,,,,,,,,,
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",MB,DO,"1,779","19,011,620",,0,,0,,"1,257,636",,0,,0,,0,,0,,0,,"83,395,816",,0,,0,,"6,142,381",,0,,0,,0,,0,,4.39,,,,,,,,,,,,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759","2,807",MB,DO,"1,096","7,122,478",,0,,0,,"3,965,272",,0,,0,,0,,0,,"17,194",,"29,928,913",,0,,0,,"13,389,517",,0,,0,,0,,"5,991",,4.20,,,,,,,,,,,,,,0.35,
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759","2,807",DR,PT,662,0,,"1,812,002",,0,,0,,0,,0,,0,,0,,0,,0,,"26,295,448",,0,,0,,0,,0,,0,,0,,,,14.51,,,,,,,,,,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759","2,807",MB,PT,51,"229,493",,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.00,,,,,,,,,,,,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759","2,807",HR,DO,998,0,,0,,0,,0,,0,,0,,0,,"438,160,464",,0,,0,,0,,0,,0,,0,,0,,"38,133,170",,0,,,,,,,,,,,,,,0.09,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",MB,PT,109,0,,0,,0,,"2,108,527",,0,,0,,0,,0,,0,,0,,0,,0,,"5,585,279",,0,,0,,0,,0,,,,,,,,,,,,,,,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",LR,DO,148,0,,0,,0,,0,,0,,0,,0,,"115,540,242",,0,,0,,0,,0,,0,,0,,0,,"13,682,252",,0,,,,,,,,,,,,,,0.12,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",DR,DO,70,0,,"217,012",,0,,0,,0,,0,,0,,0,,"11,191",,0,,"2,871,223",,0,,0,,0,,0,,0,,"18,735",,,,13.23,,,,,,,,,,,,1.67,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",RB,DO,24,0,,0,,0,,666,,0,,0,,0,,0,,"3,528,806",,0,,0,,0,,0,,0,,0,,0,,"1,437,302",,,,,,,,,,,,,,,,0.41,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",MB,DO,"1,421",0,,0,,0,,"24,889,368",,0,,0,,0,,0,,"2,474",,0,,0,,0,,"60,982,202",,0,,0,,0,,"5,466",,,,,,,,,,,,,,,,2.21,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",HR,DO,64,0,,0,,0,,0,,0,,0,,0,,"72,194,116",,0,,0,,0,,0,,0,,0,,0,,"6,079,782",,0,,,,,,,,,,,,,,0.08,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",VP,PT,673,0,,"760,636",,0,,0,,0,,0,,0,,0,,"93,372",,0,,"13,960,757",,0,,0,,0,,0,,0,,"1,247,695",,,,18.35,,,,,,,,,,,,13.36,
Chicago Transit Authority,Chicago,IL,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,16264,"Chicago, IL--IN","8,671,746","2,180",HR,DO,906,0,,0,,0,,0,,0,,0,,0,,"373,727,434",,0,,0,,0,,0,,0,,0,,0,,"61,096,471",,0,,,,,,,,,,,,,,0.16,,,
Chicago Transit Authority,Chicago,IL,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,16264,"Chicago, IL--IN","8,671,746","2,180",MB,DO,"1,274","13,403,932",,0,,0,,0,,0,,0,,0,,0,,"302,556",,"41,493,246",,0,,0,,0,,0,,0,,0,,"100,567",,3.10,,,,,,,,,,,,,,0.33,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011","2,029",DR,TX,94,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011","2,029",TB,DO,117,0,,0,,0,,0,,0,,0,,0,,"14,936,108",,0,,0,,0,,0,,0,,0,,0,,"2,817,710",,0,,,,,,,,,,,,,,0.19,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011","2,029",MB,PT,51,"54,117",,"139,985",,0,,0,,0,,0,,0,,0,,0,,"62,899",,"1,486,573",,0,,0,,0,,0,,0,,0,,1.16,,10.62,,,,,,,,,,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011","2,029",FB,DO,2,"18,944",,0,,0,,0,,"194,128",,0,,0,,0,,0,,"52,574",,0,,0,,0,,0,,0,,0,,0,,2.78,,,,,,,,,,,,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011","2,029",DR,PT,217,"48,943",,"695,954",,"274,670",,0,,0,,0,,0,,0,,0,,"516,803",,"4,964,066",,"1,370,803",,0,,0,,"1,370,803",,0,,0,,10.56,,7.13,,4.99,,,,,,,,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011","2,029",VP,DO,745,0,,"258,455",,0,,0,,0,,0,,0,,0,,0,,0,,"4,481,901",,0,,0,,0,,0,,0,,0,,,,17.34,,,,,,,,,,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011","2,029",SR,DO,10,0,,0,,0,,0,,0,,0,,0,,"1,871,516",,0,,0,,0,,0,,0,,0,,0,,"186,566",,0,,,,,,,,,,,,,,0.10,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011","2,029",MB,DO,793,"7,187,429",,0,,0,,0,,"381,262",,0,,0,,0,,"970,902",,"35,210,857",,0,,0,,0,,0,,0,,0,,"411,760",,4.90,,,,,,,,,,,,,,0.42,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",MB,PT,83,"161,821",,"21,488",,0,,0,,0,,0,,0,,0,,0,,"189,362",,"64,194",,0,,0,,0,,0,,0,,0,,1.17,,2.99,,,,,,,,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",LR,DO,124,0,,0,,0,,0,,0,,0,,0,,"40,748,656",,0,,0,,0,,0,,0,,0,,0,,"5,257,449",,0,,,,,,,,,,,,,,0.13,,,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",FB,PT,8,"1,046,073",,0,,0,,0,,0,,0,,0,,0,,0,,"189,039",,0,,0,,0,,0,,0,,0,,0,,0.18,,,,,,,,,,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",CR,PT,416,"13,761,972",,0,,0,,0,,0,,0,,0,,0,,0,,"4,680,149",,0,,0,,0,,0,,0,,0,,0,,0.34,,,,,,,,,,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",RB,DO,37,"315,670",,0,,0,,0,,0,,0,,0,,"2,409,965",,"192,166",,"377,382",,0,,0,,0,,0,,"916,863",,0,,"50,769",,1.20,,,,,,,,,,,,0.00,,0.26,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",MB,DO,653,"4,444,002",,0,,0,,"1,425,801",,0,,0,,0,,0,,0,,"16,540,364",,0,,0,,"3,732,369",,0,,0,,0,,0,,3.72,,,,,,,,,,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",HR,DO,312,0,,0,,0,,0,,0,,0,,0,,"164,492,704",,0,,0,,0,,0,,0,,0,,0,,"17,349,128",,0,,,,,,,,,,,,,,0.11,,,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",DR,PT,372,0,,"1,076,802",,0,,0,,0,,0,,0,,0,,0,,0,,"9,461,594",,0,,0,,0,,0,,0,,0,,,,8.79,,,,,,,,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",TB,DO,13,0,,0,,0,,0,,0,,0,,0,,"2,179,461",,0,,0,,0,,0,,0,,0,,0,,"276,826",,0,,,,,,,,,,,,,,0.13,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",SR,DO,92,0,,0,,0,,0,,0,,0,,0,,"18,364,943",,0,,0,,0,,0,,0,,0,,0,,"1,792,974",,0,,,,,,,,,,,,,,0.10,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",MB,DO,"1,089","10,559,578",,0,,0,,0,,0,,0,,0,,0,,0,,"43,897,996",,0,,0,,0,,0,,0,,0,,0,,4.16,,,,,,,,,,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",DR,PT,234,0,,"782,842",,0,,0,,0,,0,,0,,0,,0,,0,,"7,581,364",,0,,0,,0,,0,,0,,0,,,,9.68,,,,,,,,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",TB,DO,29,0,,0,,0,,0,,0,,0,,0,,"5,630,818",,0,,0,,0,,0,,0,,0,,0,,"717,968",,0,,,,,,,,,,,,,,0.13,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",MB,PT,3,"24,304",,0,,0,,0,,0,,0,,0,,0,,0,,"162,069",,0,,0,,0,,0,,0,,0,,0,,6.67,,,,,,,,,,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",HR,DO,238,0,,0,,0,,0,,0,,0,,0,,"127,503,641",,0,,0,,0,,0,,0,,0,,0,,"14,275,112",,0,,,,,,,,,,,,,,0.11,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",CR,DO,277,0,,0,,0,,0,,0,,0,,0,,"174,648,158",,0,,0,,0,,0,,0,,0,,0,,"13,759,706",,0,,,,,,,,,,,,,,0.08,,,
"Maryland Transit Administration, dba: MTA",Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",CB,PT,88,"241,591",,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.00,,,,,,,,,,,,,,,
"Maryland Transit Administration, dba: MTA",Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",HR,DO,42,0,,0,,0,,0,,0,,0,,0,,"50,154,675",,0,,0,,0,,0,,0,,0,,0,,"4,256,600",,0,,,,,,,,,,,,,,0.08,,,
"Maryland Transit Administration, dba: MTA",Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",MB,DO,627,"5,845,423",,0,,0,,0,,0,,0,,0,,0,,0,,"23,314,835",,0,,0,,0,,0,,0,,0,,0,,3.99,,,,,,,,,,,,,,,
"Maryland Transit Administration, dba: MTA",Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",DR,PT,398,0,,"1,321,155",,0,,0,,0,,0,,0,,0,,0,,0,,"12,987,231",,0,,0,,0,,0,,0,,0,,,,9.83,,,,,,,,,,,,,
"Maryland Transit Administration, dba: MTA",Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",CR,PT,149,"4,210,166",,0,,0,,0,,0,,0,,0,,"17,636,077",,0,,"1,177,358",,0,,0,,0,,0,,0,,"79,637",,0,,0.28,,,,,,,,,,,,0.00,,,
"Maryland Transit Administration, dba: MTA",Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",DR,TX,150,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
"Maryland Transit Administration, dba: MTA",Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",LR,DO,17,0,,0,,0,,0,,0,,0,,0,,"27,911,992",,0,,0,,0,,0,,0,,0,,0,,"3,209,789",,0,,,,,,,,,,,,,,0.12,,,
"Maryland Transit Administration, dba: MTA",Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",DR,DO,15,0,,"51,782",,0,,0,,0,,0,,0,,0,,0,,0,,"214,553",,0,,0,,0,,0,,0,,0,,,,4.14,,,,,,,,,,,,,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",MG,DO,21,0,,0,,0,,0,,0,,0,,0,,"8,284,079",,0,,0,,0,,0,,0,,0,,0,,"983,930",,0,,,,,,,,,,,,,,0.12,,,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",MB,DO,612,"1,476,247",,0,,0,,"7,080,880",,0,,0,,0,,0,,0,,"4,995,566",,0,,0,,"23,612,464",,0,,0,,0,,0,,3.38,,,,,,,,,,,,,,,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",DR,PT,332,0,,"1,101,042",,0,,0,,0,,0,,0,,0,,0,,0,,"15,346,526",,0,,0,,0,,0,,0,,0,,,,13.94,,,,,,,,,,,,,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",VP,PT,190,0,,"126,062",,0,,0,,0,,0,,0,,0,,0,,0,,"1,488,031",,0,,0,,0,,0,,0,,0,,,,11.80,,,,,,,,,,,,,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",MB,PT,91,"160,612",,"289,383",,0,,0,,0,,0,,0,,0,,0,,"1,265,755",,"1,229,732",,0,,0,,0,,0,,0,,0,,7.88,,4.25,,,,,,,,,,,,,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",HR,DO,84,0,,0,,0,,0,,0,,0,,0,,"67,576,508",,0,,0,,0,,0,,0,,0,,0,,"7,516,484",,0,,,,,,,,,,,,,,0.11,,,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",CB,PT,9,"238,020",,0,,0,,0,,0,,0,,0,,0,,0,,"991,677",,0,,0,,0,,0,,0,,0,,0,,4.17,,,,,,,,,,,,,,,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,40429,"Houston, TX","5,853,575","1,328",RB,DO,8,"143,211",,0,,0,,0,,0,,0,,0,,0,,0,,"447,459",,0,,0,,0,,0,,0,,0,,0,,3.12,,,,,,,,,,,,,,,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,40429,"Houston, TX","5,853,575","1,328",DR,PT,336,0,,"2,127,401",,0,,0,,0,,0,,0,,0,,0,,0,,"17,073,713",,0,,0,,0,,0,,0,,0,,,,8.03,,,,,,,,,,,,,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,40429,"Houston, TX","5,853,575","1,328",MB,DO,450,"5,417,288",,"156,254",,0,,"2,154,980",,0,,0,,0,,0,,0,,"25,879,129",,"1,151,726",,0,,"5,674,270",,0,,0,,0,,0,,4.78,,7.37,,,,,,,,,,,,,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,40429,"Houston, TX","5,853,575","1,328",CB,DO,104,"1,183,568",,0,,0,,0,,0,,0,,0,,0,,0,,"5,473,619",,0,,0,,0,,0,,0,,0,,0,,4.62,,,,,,,,,,,,,,,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,40429,"Houston, TX","5,853,575","1,328",VP,DO,197,0,,"126,167",,0,,0,,0,,0,,0,,0,,0,,0,,"2,196,755",,0,,0,,0,,0,,0,,0,,,,17.41,,,,,,,,,,,,,
