Agency,Number of Operating Fleets,Ridership,Service Area Population,Service Area Sq Miles,Primary UZA Area Sq Miles,Diesel (gal),Gasoline (gal),Liquefied Petroleum Gas (gal),Compressed Natural Gas (gal),Bio Diesel (gal),Other Fuel (gal/gal equivalent),Electric Propulsion (kWh),Electric Battery (kWh),Total Diesel (gal),Total kWh,NTD ID,City,State,UZA Name,Total Operating Hours,Total Employees
Berkshire Regional Transit Authority,54,1064245,127500.0,384.0,30.46,55215.0,100503.0,0.0,0.0,0.0,0.0,0.0,0.0,155718.0,0.0,,,,,,
Berrien County Public Transportation,18,0,,,,,,,,,,,,,,,,,,,
"Bi-State Development Agency of the Missouri-Illinois Metropolitan District, dba: (St. Louis) Metro",1395,25550497,1563103.0,558.0,910.37,0.0,107222.0,0.0,0.0,3459806.0,0.0,34571565.0,1520640.0,3567028.0,36092205.0,70006.0,Saint Louis,MO,"St. Louis, MO--IL",,
Biddeford-Saco-Old Orchard Beach Transit Committee Shuttle Bus,11,0,75900.0,95.0,123.88,,,,,,,,,,,,,,,,
Bienville Council on Aging,7,0,0.0,0.0,,,,,,,,,,,,,,,,,
Big Bend Transit,219,0,,,,,,,,,,,,,,,,,,,
"Big Five Community Services, Inc.",28,0,,,,,,,,,,,,,,,,,,,
Big Rapids Dial-A-Ride,14,0,,,,,,,,,,,,,,,,,,,
Big Sky Transportation District,20,0,,,,,,,,,,,,,,,,,,,
Birmingham Regional Paratransit Consortium,6,0,,,,,,,,,,,,,,,,,,,
Birmingham-Jefferson County Transit Authority,188,2821414,541852.0,186.0,509.27,2455.0,20023.0,0.0,748036.0,0.0,0.0,0.0,0.0,770514.0,0.0,40042.0,Birmingham,AL,"Birmingham, AL",,249.0
Bis-Man Transit Board,42,0,102085.0,56.0,41.85,,,,,,,,,,,,,,,,
"Black River Area Development, Inc. (BRAD Public Transit)",6,0,,,,,,,,,,,,,,,,,,,
Blackfeet Nation Transit Department,10,0,,,0.0,,,,,,,,,,,,,,,,
Blackstone Area Bus Service,8,0,,,,,,,,,,,,,,,,,,,
Bladen County,4,0,,,,,,,,,,,,,,,,,,,
"Blair Senior Services, Inc.",24,0,,,37.01,,,,,,,,,,,,,,,,
Bleckley County Transit,3,0,,,,,,,,,,,,,,,,,,,
Bloomington Public Transportation Corporation,62,1044554,86987.0,21.0,43.04,220715.0,23485.0,0.0,0.0,0.0,0.0,0.0,87966.0,244200.0,87966.0,50110.0,Bloomington,IN,"Bloomington, IN",,88.29
Bloomington-Normal Public Transit System,135,1707653,131416.0,46.0,50.36,,,,,,,,,,,50047.0,Normal,IL,"Bloomington--Normal, IL",,141.0
Blount County Commission,8,0,,,,,,,,,,,,,,,,,,,
Blue Lake Rancheria,2,0,,,0.0,,,,,,,,,,,,,,,,
"Blue River AAA, dba: Blue Rivers Public Transportation",8,0,,,,,,,,,,,,,,,,,,,
"Blue River Services , dba: Southern Indiana Transit System",28,0,,,,,,,,,,,,,,,,,,,
"Blue Valley Community Action Partnership, dba: Fillmore County Transit",3,0,,,,,,,,,,,,,,,,,,,
"Blue Water Area Transportation Commission, dba: Blue Water Area Transit",828,2706471,159128.0,700.0,52.51,77381.0,1579.0,0.0,309071.0,0.0,0.0,0.0,50955.0,388031.0,50955.0,50148.0,Port Huron,MI,"Port Huron, MI",,139.94
Bluefield Area Transit,50,0,,,,,,,,,,,,,,,,,,,
Bluegrass Community Action Agency,224,0,,,,,,,,,,,,,,,,,,,
"Board of  Clermont County Commissioners, dba: Clermont Transportation Connection",144,855297,208601.0,452.0,752.28,5876.0,93298.0,0.0,0.0,0.0,0.0,0.0,0.0,99174.0,0.0,50166.0,Batavia,OH,"Cincinnati, OH--KY",,19.7
"Board of Commissioners of Allegany County Maryland, dba: Allegany County Transit",30,0,68780.0,131.0,0.0,,,,,,,,,,,,,,,,
"Board of County Commissioners of Calvert County, Maryland",28,0,93445.0,345.0,46.65,,,,,,,,,,,,,,,,
"Board of County Commissioners of St. Lucie County, dba: Area Regional Transit - ART",88,1571184,336584.0,572.0,224.23,,,,,,,,,,,,,,,,
"Board of County Commissioners, Palm Beach County, dba: Palm Tran, Inc.",718,18300921,1485941.0,1970.0,1244.18,1828524.0,956927.0,0.0,0.0,0.0,271788.0,0.0,0.0,3057239.0,0.0,40037.0,West Palm Beach,FL,"Miami--Fort Lauderdale, FL",,505.0
Bois Forte Reservation Tribal Council,22,0,,,0.0,,,,,,,,,,,,,,,,
Boise State University,9,0,29260.0,5.0,139.23,,,,,,,,,,,,,,,,
"Bolivar County Council On Aging, Inc.",43,0,,,,,,,,,,,,,,,,,,,
"Bond County, dba: Bond County Senior Center, Inc.",14,0,,,,,,,,,,,,,,,,,,,
Boone County Council on Aging,7,0,54165.0,267.0,133.81,,,,,,,,,,,,,,,,
"Boone County Senior Services, dba: Boone Area Transit System",12,0,,,,,,,,,,,,,,,,,,,
"Borough of Mt. Carmel, dba: Lower Anthracite Transportation System",3,0,,,,,,,,,,,,,,,,,,,
"Borough of Pottstown, dba: Pottstown Area Rapid Transit",12,304408,54000.0,34.0,1898.19,58516.0,3220.0,0.0,0.0,0.0,0.0,0.0,0.0,61736.0,0.0,,,,,,
"Boston Express Bus, Inc.",15,0,530013.0,460.0,1655.89,,,,,,,,,,,,,,,,
Bowling Green Transit,7,0,,,,,,,,,,,,,,,,,,,
"Brainerd, City of",8,0,,,,,,,,,,,,,,,,,,,
Branch Area Transit Authority,26,0,,,,,,,,,,,,,,,,,,,
Brazos Transit District,130,2470674,132500.0,74.0,81.63,103873.0,217847.0,0.0,0.0,0.0,0.0,0.0,0.0,321720.0,0.0,60059.0,Bryan,TX,"College Station--Bryan, TX",,100.0
Brevard Alzheimer's Foundation Inc.,16,0,615420.0,1557.0,250.55,,,,,,,,,,,,,,,,
"Brevard Board of County Commissioners, dba: Space Coast Area Transit",258,3178995,622159.0,1557.0,250.55,510625.0,74225.0,0.0,0.0,0.0,0.0,0.0,0.0,584850.0,0.0,40063.0,Titusville,FL,"Palm Bay--Melbourne, FL",,154.5
Broadway Bus Corporation,8,0,100344.0,7.0,3248.12,,,,,,,,,,,,,,,,
Brockton Area Transit Authority,164,1691643,255876.0,86.0,1655.89,250845.0,68400.0,0.0,0.0,0.0,0.0,0.0,0.0,319245.0,0.0,,,,,,
Brookings Area Transit Authority,24,0,,,,,,,,,,,,,,,,,,,
"Broome County, dba: Department of Transportation/BC Transit",100,1633932,198963.0,712.0,69.73,251939.0,55561.0,0.0,0.0,0.0,0.0,0.0,0.0,307500.0,0.0,20003.0,Binghamton,NY,"Binghamton, NY",,114.49
"Broward County Board of County Commissioners, dba: Broward County Transit Division",1527,27415388,1944375.0,428.0,1244.18,4042687.0,563087.0,785061.0,0.0,0.0,0.0,0.0,0.0,5390835.0,0.0,40029.0,Fort Lauderdale,FL,"Miami--Fort Lauderdale, FL",,
Brown County Family Services,7,0,,,,,,,,,,,,,,,,,,,
"Brown County YMCA, dba: ACCESS Brown County Public Transit",3,0,,,,,,,,,,,,,,,,,,,
Brunswick Transit System Inc.,10,0,,,,,,,,,,,,,,,,,,,
Buffalo Senior Center Inc,5,0,,,,,,,,,,,,,,,,,,,
"Buncombe County, dba: Mountain Mobility",54,908170,269452.0,657.0,248.58,0.0,84508.0,6506.0,4173.0,0.0,0.0,0.0,0.0,95187.0,0.0,,,,,,
"Bureau County, dba: Bureau Putnam Area Rural Transit",17,0,,,,,,,,,,,,,,,,,,,
Burke County Transit,7,0,,,,,,,,,,,,,,,,,,,
Burlington Urban Service,11,0,,,,,,,,,,,,,,,,,,,
Butler County Regional Transit Authority,108,956320,390357.0,470.0,752.28,53158.0,117856.0,0.0,0.0,0.0,0.0,0.0,0.0,171014.0,0.0,50157.0,Hamilton,OH,"Cincinnati, OH--KY",,94.0
"Butler County Senior Service Program, dba: Butler County Public Transit",4,0,,,,,,,,,,,,,,,,,,,
"Butler Transit  Authority, dba: The Bus",42,0,4681.0,53.0,906.64,,,,,,,,,,,,,,,,
"Butler, County of, dba: Butler County Department on Aging",7,0,65827.0,1443.0,226.84,,,,,,,,,,,,,,,,
Butte County Association of Governments,72,1427900,162252.0,186.0,33.72,,,,,,,,,,,,,,,,
Butte Silver Bow COA,1,0,,,,,,,,,,,,,,,,,,,
Butte Silver Bow Transit,22,0,,,,,,,,,,,,,,,,,,,
CCTS d/b/a River Cities Transit,48,0,,,,,,,,,,,,,,,,,,,
COTA,8,0,,,,,,,,,,,,,,,,,,,
CRIS Rural Mass Transit District,19,0,,,,,,,,,,,,,,,,,,,
"Cabarrus County , dba: Cabarrus County Transportation",22,0,181468.0,365.0,200.06,,,,,,,,,,,,,,,,
Cache Valley Transit District,56,1318851,95500.0,33.0,47.72,209231.0,22126.0,0.0,0.0,0.0,0.0,0.0,0.0,231357.0,0.0,80028.0,Logan,UT,"Logan, UT",,124.05
Cadillac/Wexford Transit Authority,27,0,,,,,,,,,,,,,,,,,,,
Calaveras Transit Agency,22,0,,,,,,,,,,,,,,,,,,,
Calcasieu Office of Community Services,9,0,,,,,,,,,,,,,,,,,,,
Caldwell Parish Council on Aging,4,0,,,,,,,,,,,,,,,,,,,
Calhoun County Senior Citizens,4,0,437155.0,1784.0,,,,,,,,,,,,,,,,,
"Calhoun County Senior Citizens Association, Inc.",15,0,1268782.0,365.0,,,,,,,,,,,,,,,,,
"California Vanpool Authority, dba: CalVans",758,10003280,5806496.0,1739.0,18.23,0.0,888006.0,0.0,0.0,0.0,0.0,0.0,0.0,888006.0,0.0,90230.0,Hanford,CA,"Hanford, CA",,29.0
"Call-A-Ride Service, Inc.",10,0,,,,,,,,,,,,,,,,,,,
"Callaway District Hospital, dba: Callaway District Hospital Public Transportation",1,0,,,,,,,,,,,,,,,,,,,
Cambria County Transit Authority,138,1412098,133472.0,688.0,34.7,,,,,,,,,,,30012.0,Johnstown,PA,"Johnstown, PA",,109.75
Cambridge Memorial Hospital,6,0,,,,,,,,,,,,,,,,,,,
"Cameron Council on Aging, Inc",8,0,,,,,,,,,,,,,,,,,,,
Campbell County Senior Citizens Association Inc,8,0,,,,,,,,,,,,,,,,,,,
Can-Do Transportation,2,0,,,,,,,,,,,,,,,,,,,
Cape Ann Transportation Authority,40,616887,60184.0,93.0,1655.89,,,,,,,,,,,,,,,,
Cape Cod Regional Transit Authority,399,3116774,228996.0,394.0,341.28,151836.0,205202.0,0.0,0.0,7991.0,0.0,0.0,0.0,365029.0,0.0,,,,,,
"Cape Fear Public Transportation Authority, dba: Wave Transit",129,1617333,230310.0,200.0,142.25,24233.0,58369.0,0.0,239154.0,0.0,0.0,0.0,0.0,321756.0,0.0,40006.0,Wilmington,NC,"Wilmington, NC",,53.0
Cape Girardeau County Transit Authority,90,0,82113.0,579.0,31.22,,,,,,,,,,,,,,,,
Cape May County,21,0,93553.0,251.0,162.87,,,,,,,,,,,,,,,,
Cape May Lewes Ferry,3,71640,332641.0,1187.0,162.87,870031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,870031.0,0.0,20223.0,New Castle,DE,"Atlantic City--Ocean City--Villas, NJ",,190.0
Capital Area Rural Transportation System (CARTS - RURAL),261,0,,,,,,,,,,,,,,,,,,,
Capital Area Transit System,132,3442717,367124.0,211.0,396.34,697395.0,93634.0,0.0,0.0,0.0,0.0,0.0,914.0,791029.0,914.0,60022.0,Baton Rouge,LA,"Baton Rouge, LA",,296.0
Capital Area Transportation Authority,652,6473169,295130.0,136.0,155.83,722549.0,310499.0,0.0,0.0,0.0,0.0,0.0,0.0,1033048.0,0.0,50036.0,Lansing,MI,"Lansing, MI",,373.8
Capital District Transportation Authority,1615,13708198,511949.0,207.0,271.3,2149462.0,424873.0,0.0,0.0,0.0,0.0,0.0,27415.0,2574335.0,27415.0,20002.0,Albany,NY,"Albany--Schenectady, NY",,902.0
"Capital Metropolitan Transportation Authority, dba: Capital Metro",3774,25321432,1330916.0,542.0,619.62,4531984.0,596741.0,0.0,0.0,0.0,0.0,0.0,442421.0,5128725.0,442421.0,,,,,,
"Cardinal Services , dba: Kosciusko Area Bus Service",9,0,,,,,,,,,,,,,,,,,,,
Caro Transit Authority,15,0,,,,,,,,,,,,,,,,,,,
Carroll County,14,0,,,,,,,,,,,,,,,,,,,
Carroll County Transit,12,0,,,,,,,,,,,,,,,,,,,
Carroll County Wellness Transit,3,0,,,,,,,,,,,,,,,,,,,
Carson Area Metropolitan Planning Organization,20,0,62204.0,26.0,26.19,,,,,,,,,,,,,,,,
Carter County,2,0,,,,,,,,,,,,,,,,,,,
Carteret County,12,0,,,,,,,,,,,,,,,,,,,
Casco Bay Island Transit District,4,102132,66765.0,111.0,123.88,,,,,,,,,,,10088.0,Portland,ME,"Portland, ME",,126.0
"Cass County Council on Aging , dba: Cass Area Transit",40,0,,,,,,,,,,,,,,,,,,,
Cass County Transportation Authority,10,0,163040.0,700.0,,,,,,,,,,,,,,,,,
Caswell County,8,0,,,,,,,,,,,,,,,,,,,
Catawba Indian Nation,7,0,,,0.0,,,,,,,,,,,,,,,,
"Catholic Community Service, Sitka",3,0,,,,,,,,,,,,,,,,,,,
Catoosa County,11,0,,,291.7,,,,,,,,,,,,,,,,
Cavalier County Senior Meals & Services,3,0,,,,,,,,,,,,,,,,,,,
"Cecil County Government , dba: Cecil Transit",36,0,102383.0,346.0,1898.19,,,,,,,,,,,,,,,,
Cedar Area Transportation Service,4,0,,,,,,,,,,,,,,,,,,,
Cedar County Transit,10,0,,,,,,,,,,,,,,,,,,,
"Cedar Valley Services, Inc.",58,0,,,,,,,,,,,,,,,,,,,
"Center for Pan Asian Community Services, Inc.",18,0,1647546.0,94.0,2553.04,,,,,,,,,,,,,,,,
"Central Area Rural Transit System, Inc.",48,0,,,,,,,,,,,,,,,,,,,
"Central Arkansas Development Council (CADC/SCAT), dba: South Central Arkansas Transit",193,0,,,267.82,,,,,,,,,,,,,,,,
Central Community Transit,56,0,,,,,,,,,,,,,,,,,,,
"Central Contra Costa Transit Authority, dba: COUNTY CONNECTION",354,4020363,627597.0,274.0,175.76,,,,,,,,,,,90078.0,Concord,CA,"Concord--Walnut Creek, CA",,218.0
Central County Transportation Authority,132,2327567,261670.0,580.0,109.46,,,,,,,,,,,50035.0,Kalamazoo,MI,"Kalamazoo, MI",,115.0
"Central Florida Commuter Rail, dba: SunRail",23,1035020,309193.0,110.0,644.61,1185090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1185090.0,0.0,,,,,,
Central Florida Regional Planning Council,86,0,297811.0,298.0,,,,,,,,,,,,,,,,,
Central Florida Regional Transportation Authority,2750,27503884,2289420.0,2540.0,644.61,1736508.0,1148925.0,0.0,2448176.0,0.0,0.0,0.0,10456.0,5333609.0,10456.0,40035.0,Orlando,FL,"Orlando, FL",,
Central Indiana Regional Transportation Authority,68,934822,864447.0,368.0,722.55,23700.0,40175.0,0.0,0.0,0.0,0.0,0.0,0.0,63875.0,0.0,,,,,,
Central Kentucky Community Action Council,90,0,,,,,,,,,,,,,,,,,,,
"Central Midlands Regional Transportation Authority, dba: The COMET",710,3600572,646895.0,1530.0,367.5,0.0,32789.0,448194.0,0.0,498750.0,0.0,0.0,0.0,979733.0,0.0,,,,,,
"Central Mississippi, Incorporated",5,0,,,,,,,,,,,,,,,,,,,
"Central New York Regional Transportation Authority, dba: New York Regional Transportation Authority",642,5989368,641357.0,510.0,180.53,363055.0,199309.0,0.0,752372.0,0.0,0.0,0.0,0.0,1314736.0,0.0,20018.0,Syracuse,NY,"Syracuse, NY",,503.0
Central Ohio Transit Authority,822,16084016,1168779.0,336.0,516.16,686110.0,104286.0,0.0,3129891.0,0.0,0.0,0.0,53430.0,3920287.0,53430.0,50016.0,Columbus,OH,"Columbus, OH",,
Central Oklahoma Community Action Agency,12,0,,,,,,,,,,,,,,,,,,,
