Agency,NTD ID,Operating Federal,Operating State,Operating Local,Operating Other,Capital Federal,Capital State,Capital Local,Capital Other,Number of Operating Fleets,Ridership,Total OE,OpExp VO,OpExp VM,OpExp NVM,OpExp GA,FARES,DRM,VRM,VRH,UPT,PMT,Days of Service Operated,Days Not Operated Due to Emergencies,Non-Statutory Mixed Traffic,DRM Mixed Traffic ROW,City,State,Cluster
Valley Regional Transit,11,11059802.0,0.0,6859352.0,1706023.0,4466492.0,0.0,1284428.0,0.0,140.0,2302277.0,19517520.0,9349220.0,2626105.0,66726.0,7475469.0,763269.0,232.5,2031114.0,122452.0,1025868.0,4128299.0,617.0,0.0,0.0,232.5,Meridian,ID,21
"Municipality of Anchorage, dba: Public Transportation",12,7337223.0,1119326.0,25587286.0,5515592.0,6774777.0,9822.0,2238976.0,0.0,504.0,4833875.0,37834616.0,21911476.0,5511029.0,2574823.0,7837288.0,4909411.0,224.0,4582107.0,280032.0,2731671.0,18929362.0,1069.0,0.0,0.0,224.0,Anchorage,AK,22
Sitka Tribe of Alaska,14,632222.0,0.0,8540.0,36890.0,0.0,0.0,0.0,0.0,2.0,0.0,677652.0,0.0,0.0,0.0,0.0,36890.0,0.0,95045.0,7692.0,39789.0,0.0,0.0,0.0,0.0,0.0,Sitka,AK,0
Snoqualmie Indian Tribe,15,348111.0,0.0,97367.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,320478.0,0.0,0.0,0.0,0.0,0.0,0.0,337.0,34.0,15.0,0.0,0.0,0.0,0.0,0.0,Snoqualmie,WA,0
RiverCities Transit,16,178578.0,606242.0,4366750.0,286412.0,50096.0,0.0,47108.0,0.0,63.0,511329.0,5403632.0,3557983.0,684387.0,157178.0,1004084.0,120105.0,95.0,483310.0,42457.0,236475.0,979446.0,710.0,0.0,0.0,95.0,Longview,WA,21
Stillaguamish Tribe of Indians,17,367272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,367272.0,0.0,0.0,0.0,0.0,0.0,0.0,37740.0,1156.0,6342.0,0.0,0.0,0.0,0.0,0.0,Arlington,WA,0
Ben Franklin Transit,18,14120986.0,1328095.0,27092708.0,2735559.0,4014462.0,146500.0,4829678.0,0.0,1072.0,8174668.0,45248669.0,29277834.0,5357451.0,1319187.0,9294197.0,1695577.0,340.0,7628890.0,400845.0,2397563.0,18315514.0,1448.0,0.0,0.0,340.0,Richland,WA,18
Intercity Transit,19,484705.0,4694550.0,46053902.0,2666724.0,15800566.0,172671.0,16634806.0,0.0,960.0,6046657.0,53660015.0,32639621.0,7522738.0,2089981.0,11407675.0,404230.0,304.1,5782923.0,329342.0,3311656.0,22954940.0,1451.0,0.0,0.0,304.1,Olympia,WA,18
Kitsap Transit,20,86599.0,5851393.0,52328639.0,7292653.0,5924179.0,3267652.0,7899395.0,0.0,1090.0,4712971.0,63541467.0,36073934.0,11689358.0,2787887.0,12990288.0,5322801.0,615.94,4109253.0,217602.0,2201451.0,16813425.0,1491.0,0.0,0.0,517.0,Bremerton,WA,20
Whatcom Transportation Authority,21,21527404.0,1485882.0,18177349.0,2452905.0,3582759.0,195217.0,3181942.0,0.0,288.0,3411682.0,43602151.0,28408193.0,4691242.0,1748406.0,8754310.0,1546622.0,424.5,3121002.0,228578.0,3101980.0,9994409.0,1008.0,0.0,0.0,424.5,Bellingham,WA,22
"City of Pocatello, dba: Pocatello Regional Transit",22,1638053.0,0.0,519199.0,530697.0,573336.0,0.0,9939.0,0.0,48.0,0.0,2687949.0,0.0,0.0,0.0,0.0,521277.0,0.0,585384.0,35222.0,185463.0,0.0,0.0,0.0,0.0,0.0,Pocatello,ID,0
"City of Seattle, dba: Seattle Center Monorail",23,574565.0,0.0,0.0,4319228.0,1343747.0,0.0,335937.0,0.0,8.0,228303.0,4893793.0,1343555.0,856555.0,212671.0,2481012.0,4319228.0,1.8,228303.0,21196.0,1633951.0,1470556.0,362.0,0.0,0.0,0.0,Seattle,WA,10
Clark County Public Transportation Benefit Area Authority,24,33001375.0,2644908.0,22502898.0,4974322.0,5500200.0,9500959.0,12158884.0,0.0,477.0,5877870.0,63010239.0,36252727.0,9380719.0,3363801.0,14012992.0,2590918.0,406.55,5230303.0,346152.0,4004631.0,19744152.0,1095.0,0.0,0.0,403.2,Vancouver,WA,22
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots",25,21699240.0,7586806.0,6969089.0,3232714.0,1350417.0,1614549.0,189093.0,0.0,596.0,3804477.0,39036113.0,23813049.0,4258357.0,1359539.0,9605168.0,2592203.0,472.0,3507245.0,253010.0,2218911.0,8668066.0,1347.0,0.0,0.0,472.0,Salem,OR,7
"County of Pierce, dba: Pierce County Ferry",28,4463382.0,475274.0,736830.0,4290965.0,674013.0,2285.0,11300.0,427127.0,2.0,44548.0,9966451.0,4468854.0,4035069.0,429172.0,1033356.0,2979914.0,8.62,44548.0,5548.0,438385.0,1793474.0,365.0,0.0,0.0,0.0,Tacoma,WA,10
Snohomish County Public Transportation Benefit Area Corporation,29,41454932.0,3513290.0,92540556.0,29182150.0,7354970.0,2591270.0,38079821.0,1225793.0,2405.0,13728800.0,139277872.0,78342152.0,19312019.0,8859130.0,32764571.0,11216483.0,1141.47,10606069.0,592287.0,5785140.0,47398922.0,1605.0,0.0,0.0,977.0,Everett,WA,3
Chickaloon Native Village,30,113202.0,0.0,0.0,8860.0,0.0,0.0,0.0,0.0,2.0,0.0,122061.0,0.0,0.0,0.0,0.0,2325.0,0.0,29909.0,2016.0,2171.0,0.0,0.0,0.0,0.0,0.0,Palmer,AK,0
Shoshone-Bannock Tribes,31,799554.0,85528.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,885082.0,0.0,0.0,0.0,0.0,0.0,0.0,245420.0,15978.0,21393.0,0.0,0.0,0.0,0.0,0.0,Fort Hall,ID,0
Senior Services of Snohomish County,33,48153.0,1146033.0,145152.0,16941.0,0.0,122403.0,0.0,45788.0,14.0,0.0,1356279.0,0.0,0.0,0.0,0.0,16941.0,0.0,228722.0,10806.0,13884.0,0.0,0.0,0.0,0.0,0.0,Lynnwood,WA,0
Rogue Valley Transportation District,34,9742284.0,3818068.0,2265475.0,0.0,2983049.0,380932.0,2461003.0,1486323.0,90.0,1666100.0,15825827.0,9200113.0,1262416.0,476632.0,4886666.0,881316.0,197.0,1538885.0,108327.0,690639.0,3890427.0,616.0,0.0,0.0,197.0,Medford,OR,21
Washington State Ferries,35,67900498.0,50539314.0,0.0,164066615.0,64574134.0,64199522.0,0.0,26007.0,17.0,737693.0,282506427.0,213641114.0,33538082.0,10871095.0,24456136.0,57644277.0,185.2,737135.0,105456.0,17156046.0,124788014.0,365.0,0.0,0.0,0.0,Olympia,WA,11
Makah Tribal Council,36,93454.0,0.0,66065.0,142.0,0.0,0.0,0.0,0.0,1.0,0.0,159661.0,0.0,0.0,0.0,0.0,142.0,0.0,40787.0,2298.0,2659.0,0.0,0.0,0.0,0.0,0.0,Neah Bay,WA,0
"Central Puget Sound Regional Transit Authority, dba: Sound Transit",40,271204372.0,0.0,139252006.0,102612079.0,308628904.0,3090000.0,1475836665.0,0.0,1926.0,22931261.0,408902960.0,166442972.0,63819702.0,80879125.0,97761161.0,45617242.0,911.25,19753303.0,979929.0,32014474.0,284158493.0,1630.0,0.0,0.0,425.9,Seattle,WA,2
Alaska Railroad Corporation,41,16317415.0,0.0,0.0,40164759.0,31145457.0,2627095.0,0.0,16309937.0,60.0,1142075.0,56640750.0,22237555.0,10171081.0,8418646.0,15813468.0,33709263.0,959.92,1131787.0,42677.0,219757.0,27580278.0,226.0,0.0,0.0,0.0,Anchorage,AK,9
"Chelan Douglas PTBA , dba: Link Transit",43,6027668.0,1093326.0,13212420.0,512310.0,0.0,0.0,2889034.0,0.0,156.0,2647784.0,20827309.0,11346694.0,2955584.0,1000348.0,5524683.0,0.0,287.8,2457388.0,129922.0,949524.0,7565714.0,1024.0,3.0,0.0,287.8,Wenatchee,WA,6
Skagit Transit,44,7855038.0,294374.0,9161124.0,993761.0,501296.0,41565.0,2444754.0,0.0,276.0,2500536.0,18294019.0,10971683.0,2251894.0,1151872.0,3918570.0,674633.0,462.3,2356794.0,125863.0,483277.0,6527528.0,1436.0,0.0,0.0,462.3,Burlington,WA,7
Fairbanks North Star Borough,45,4255456.0,106158.0,5153070.0,31913.0,1173635.0,0.0,280580.0,0.0,36.0,0.0,9546597.0,0.0,0.0,0.0,0.0,2180.0,0.0,637821.0,40898.0,202075.0,0.0,0.0,0.0,0.0,0.0,Fairbanks,AK,0
"City of Wilsonville, dba: South Metro Area Regional Transit",46,3703690.0,1736291.0,965558.0,89153.0,823615.0,378258.0,471738.0,0.0,38.0,643128.0,6005164.0,3409155.0,901579.0,26346.0,1668084.0,52523.0,162.5,606542.0,31178.0,156663.0,999675.0,612.0,0.0,0.0,162.5,Wilsonville,OR,21
"City of Corvallis, dba: Corvallis Transit System",47,2867097.0,764187.0,407445.0,310183.0,399313.0,41990.0,1038.0,0.0,22.0,0.0,4317542.0,0.0,0.0,0.0,0.0,89022.0,0.0,470177.0,37769.0,722610.0,0.0,0.0,0.0,0.0,0.0,Corvallis,OR,0
"City of Lewiston, dba: Lewiston Transit System",48,699272.0,318.0,279181.0,102149.0,418517.0,0.0,89759.0,0.0,8.0,0.0,1080920.0,0.0,0.0,0.0,0.0,36543.0,0.0,136926.0,9521.0,40384.0,0.0,0.0,0.0,0.0,0.0,Lewiston,ID,0
Asotin County,51,404593.0,94080.0,804906.0,109945.0,75568.0,0.0,44084.0,0.0,39.0,0.0,1413524.0,0.0,0.0,0.0,0.0,81745.0,0.0,317340.0,16614.0,64609.0,0.0,0.0,0.0,0.0,0.0,Clarkston,WA,0
"Coeur d'Alene Tribe, dba: Citylink Transit",53,1847097.0,0.0,235259.0,0.0,145414.0,0.0,0.0,0.0,14.0,0.0,2082356.0,0.0,0.0,0.0,0.0,0.0,0.0,666649.0,25771.0,174901.0,0.0,0.0,0.0,0.0,0.0,Plummer,ID,0
"Kootenai County, dba: Kootenai County Citylink North",55,708915.0,0.0,14223.0,0.0,883857.0,0.0,169845.0,0.0,4.0,0.0,723138.0,0.0,0.0,0.0,0.0,0.0,0.0,92006.0,6840.0,15278.0,0.0,0.0,0.0,0.0,0.0,Coeur D Alene,ID,0
"Central Oregon Intergovernmental Council, dba: Cascades East Transit",57,4361893.0,2796040.0,653672.0,330875.0,600633.0,986834.0,0.0,0.0,205.0,1081042.0,8125321.0,4069599.0,563227.0,162857.0,3329638.0,195253.0,361.4,973038.0,54445.0,423611.0,2954431.0,1507.0,0.0,0.0,361.4,Bend,OR,18
City of Portland,58,0.0,5942045.0,13932443.0,1928750.0,0.0,0.0,27887.0,0.0,28.0,381460.0,21803238.0,12177882.0,2924943.0,1766536.0,4933877.0,1142791.0,16.72,380896.0,71927.0,2373341.0,2823423.0,417.0,0.0,0.0,0.0,Portland,OR,10
"Josephine County, dba: Josephine Community Transit",59,1526755.0,1202889.0,30000.0,274000.0,0.0,211769.0,0.0,0.0,42.0,0.0,3033644.0,0.0,0.0,0.0,0.0,93590.0,0.0,471686.0,29017.0,114043.0,0.0,0.0,0.0,0.0,0.0,Grants Pass,OR,0
The Tulalip Tribes of Washington,60,0.0,0.0,75191.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,75191.0,0.0,0.0,0.0,0.0,0.0,0.0,13986.0,1322.0,562.0,0.0,0.0,0.0,0.0,0.0,Tulalip,WA,0
City of Albany,61,2028690.0,704075.0,231675.0,110.0,24374.0,61444.0,42762.0,0.0,30.0,0.0,2964550.0,0.0,0.0,0.0,0.0,110.0,0.0,382798.0,24623.0,65054.0,0.0,0.0,0.0,0.0,0.0,Albany,OR,0
City of Milton-Freewater,63,6584.0,201359.0,56960.0,2514.0,0.0,0.0,0.0,0.0,4.0,0.0,230697.0,0.0,0.0,0.0,0.0,2514.0,0.0,23368.0,1567.0,3328.0,0.0,0.0,0.0,0.0,0.0,Milton Freewater,OR,0
Valley Transit,64,0.0,322575.0,5040611.0,102839.0,66022.0,0.0,13408.0,0.0,54.0,0.0,5466025.0,0.0,0.0,0.0,0.0,100339.0,0.0,486009.0,34836.0,328588.0,0.0,0.0,0.0,0.0,0.0,Walla Walla,WA,0
"Benton County, dba: Benton Area Transit",65,533906.0,334797.0,77588.0,87924.0,0.0,14990.0,0.0,0.0,30.0,0.0,1034215.0,0.0,0.0,0.0,0.0,34484.0,0.0,324659.0,20941.0,38144.0,0.0,0.0,0.0,0.0,0.0,Corvallis,OR,0
Gulkana Village Council,85,332506.0,0.0,0.0,23294.0,0.0,0.0,0.0,0.0,6.0,0.0,355800.0,0.0,0.0,0.0,0.0,23294.0,0.0,107540.0,3364.0,1643.0,0.0,0.0,0.0,0.0,0.0,Gakona,AK,0
"Lummi Nation, dba: Lummi Indian Business Council",95,44450.0,238741.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,283191.0,0.0,0.0,0.0,0.0,0.0,0.0,49890.0,4068.0,10513.0,0.0,0.0,0.0,0.0,0.0,Bellingham,WA,0
Squaxin Island Tribe,103,209205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,209205.0,0.0,0.0,0.0,0.0,0.0,0.0,36164.0,2659.0,6014.0,0.0,0.0,0.0,0.0,0.0,Shelton,WA,0
Confederated Tribes and Bands of The Yakama Nation,111,1127008.0,0.0,0.0,0.0,88841.0,0.0,0.0,0.0,10.0,0.0,1127008.0,0.0,0.0,0.0,0.0,0.0,0.0,206589.0,7428.0,14457.0,0.0,0.0,0.0,0.0,0.0,Toppenish,WA,0
Confederated Tribes of the Umatilla Indian Reservation,119,1244972.0,717770.0,396760.0,0.0,27200.0,10620.0,0.0,0.0,14.0,0.0,2359501.0,0.0,0.0,0.0,0.0,0.0,0.0,426729.0,15248.0,57775.0,0.0,0.0,0.0,0.0,0.0,Pendleton,OR,0
Cowlitz Indian Tribe,127,433477.0,257136.0,0.0,5334.0,324686.0,0.0,0.0,0.0,7.0,0.0,695947.0,0.0,0.0,0.0,0.0,0.0,0.0,142072.0,4476.0,6206.0,0.0,0.0,0.0,0.0,0.0,Longview,WA,0
Nez Perce Tribe,135,947985.0,0.0,115047.0,8136.0,0.0,0.0,0.0,0.0,8.0,0.0,1071168.0,0.0,0.0,0.0,0.0,8136.0,0.0,207599.0,8006.0,6746.0,0.0,0.0,0.0,0.0,0.0,Lapwai,ID,0
Seldovia Village Tribe,199,0.0,0.0,0.0,592570.0,0.0,0.0,0.0,0.0,1.0,0.0,592570.0,0.0,0.0,0.0,0.0,592570.0,0.0,6336.0,297.0,17258.0,0.0,0.0,0.0,0.0,0.0,Seldovia,AK,0
Spokane Tribe of Indians,207,399186.0,461441.0,131724.0,16336.0,60550.0,0.0,0.0,0.0,33.0,0.0,1008687.0,0.0,0.0,0.0,0.0,16336.0,0.0,423176.0,17076.0,24328.0,0.0,0.0,0.0,0.0,0.0,Wellpinit,WA,0
Ketchikan Indian Community,239,127402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,127402.0,0.0,0.0,0.0,0.0,0.0,0.0,3326.0,429.0,1115.0,0.0,0.0,0.0,0.0,0.0,Ketchikan,AK,0
Native Village of Noatak,247,0.0,0.0,32714.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,32714.0,0.0,0.0,0.0,0.0,0.0,0.0,2344.0,688.0,5538.0,0.0,0.0,0.0,0.0,0.0,Noatak,AK,0
Hydaburg Cooperative Association,279,92391.0,0.0,0.0,7020.0,0.0,0.0,0.0,0.0,2.0,0.0,99411.0,0.0,0.0,0.0,0.0,7020.0,0.0,35431.0,2169.0,2404.0,0.0,0.0,0.0,0.0,0.0,Hydaburg,AK,0
Garfield County Transportation Program,282,0.0,234694.0,42651.0,4991.0,30038.0,0.0,7510.0,0.0,4.0,0.0,282336.0,0.0,0.0,0.0,0.0,4991.0,0.0,50523.0,3688.0,8653.0,0.0,0.0,0.0,0.0,0.0,Pomeroy,WA,0
Thurston Regional Planning Council,285,0.0,711340.0,168571.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,879911.0,0.0,0.0,0.0,0.0,0.0,0.0,253934.0,8824.0,21090.0,0.0,0.0,0.0,0.0,0.0,Olympia,WA,0
Rural Resources Community Action,286,735431.0,155378.0,0.0,8502.0,0.0,0.0,0.0,0.0,16.0,0.0,899311.0,0.0,0.0,0.0,0.0,8502.0,0.0,288197.0,14549.0,11407.0,0.0,0.0,0.0,0.0,0.0,Colville,WA,0
People for People Moses Lake,287,1418498.0,199694.0,0.0,202790.0,327659.0,0.0,0.0,81292.0,52.0,0.0,1820982.0,0.0,0.0,0.0,0.0,0.0,0.0,519741.0,25394.0,17486.0,0.0,0.0,0.0,0.0,0.0,Yakima,WA,0
City of Cottage Grove,290,353028.0,91438.0,58568.0,432409.0,0.0,0.0,0.0,0.0,14.0,0.0,935443.0,0.0,0.0,0.0,0.0,39512.0,0.0,78283.0,7204.0,13912.0,0.0,0.0,0.0,0.0,0.0,Cottage Grove,OR,0
Pullman Transit,294,3498917.0,0.0,0.0,1640719.0,714839.0,9543.0,294952.0,0.0,34.0,0.0,5139636.0,0.0,0.0,0.0,0.0,1640719.0,0.0,417916.0,35383.0,838522.0,0.0,0.0,0.0,0.0,0.0,Pullman,WA,0
Tillamook County Transportation District,296,1429799.0,660827.0,251392.0,1033187.0,434989.0,73425.0,10956.0,0.0,57.0,0.0,3375205.0,0.0,0.0,0.0,0.0,709256.0,0.0,948006.0,36112.0,102798.0,0.0,0.0,0.0,0.0,0.0,Tillamook,OR,0
People for People Yakima,297,1613453.0,150447.0,0.0,142283.0,0.0,0.0,0.0,0.0,51.0,0.0,1906183.0,0.0,0.0,0.0,0.0,0.0,0.0,394127.0,19412.0,33723.0,0.0,0.0,0.0,0.0,0.0,Yakima,WA,0
Island Transit,298,4538836.0,4799243.0,1902242.0,837546.0,743605.0,260130.0,834520.0,0.0,156.0,0.0,12077867.0,0.0,0.0,0.0,0.0,181746.0,0.0,1953178.0,76874.0,380574.0,0.0,0.0,0.0,0.0,0.0,Coupeville,WA,0
Klickitat County Senior Services,299,0.0,801568.0,546823.0,35530.0,0.0,0.0,0.0,0.0,28.0,0.0,1383921.0,0.0,0.0,0.0,0.0,35530.0,0.0,401136.0,17355.0,16361.0,0.0,0.0,0.0,0.0,0.0,Goldendale,WA,0
City of Silverton,300,64825.0,0.0,17932.0,1895.0,46180.0,0.0,5285.0,0.0,3.0,0.0,84652.0,0.0,0.0,0.0,0.0,1895.0,0.0,8385.0,1700.0,3970.0,0.0,0.0,0.0,0.0,0.0,Silverton,OR,0
South Clackamas Transportation District,301,377143.0,206445.0,622267.0,14973.0,127417.0,0.0,14583.0,0.0,4.0,0.0,1220828.0,0.0,0.0,0.0,0.0,14973.0,0.0,298432.0,13057.0,26003.0,0.0,0.0,0.0,0.0,0.0,Molalla,OR,0
Clallam Transit System,303,3943649.0,800297.0,7049910.0,790903.0,3900817.0,398690.0,1285901.0,0.0,141.0,0.0,12584759.0,0.0,0.0,0.0,0.0,692516.0,0.0,1709495.0,81921.0,544901.0,0.0,0.0,0.0,0.0,0.0,Port Angeles,WA,10
Coos County Area Transit,307,567209.0,701411.0,4182.0,66912.0,37878.0,0.0,5800.0,14850.0,48.0,0.0,1339714.0,0.0,0.0,0.0,0.0,55424.0,0.0,265376.0,18461.0,31608.0,0.0,0.0,0.0,0.0,0.0,Coos Bay,OR,0
"Curry County Public Transit Service District, dba: Curry Public Transit Inc",308,502158.0,180292.0,0.0,97158.0,0.0,0.0,0.0,0.0,22.0,0.0,779608.0,0.0,0.0,0.0,0.0,63254.0,0.0,230534.0,10307.0,20610.0,0.0,0.0,0.0,0.0,0.0,Brookings,OR,0
Grant County Transportation Authority,309,1117868.0,0.0,3975113.0,55881.0,885008.0,424379.0,971939.0,0.0,160.0,0.0,5148862.0,0.0,0.0,0.0,0.0,55881.0,0.0,861380.0,38619.0,148888.0,0.0,0.0,0.0,0.0,0.0,Moses Lake,WA,0
Lincoln County Transportation Service District,310,358018.0,914877.0,647470.0,319926.0,0.0,0.0,0.0,0.0,39.0,0.0,2240291.0,0.0,0.0,0.0,0.0,120512.0,0.0,508655.0,30108.0,231473.0,0.0,0.0,0.0,0.0,0.0,Newport,OR,0
Mountain Rides Transportation Authority,311,1769755.0,0.0,1614916.0,173455.0,1540558.0,112000.0,2152976.0,0.0,96.0,0.0,3558126.0,0.0,0.0,0.0,0.0,173455.0,0.0,908036.0,40400.0,488383.0,0.0,0.0,0.0,0.0,0.0,Ketchum,ID,0
Hopesource,312,474828.0,651465.0,1073863.0,2641.0,0.0,0.0,0.0,0.0,24.0,0.0,2202797.0,0.0,0.0,0.0,0.0,0.0,0.0,430987.0,33043.0,109928.0,0.0,0.0,0.0,0.0,0.0,Ellensburg,WA,0
Grant County Transportation District,313,389275.0,249350.0,0.0,86880.0,0.0,177745.0,0.0,18359.0,12.0,0.0,725505.0,0.0,0.0,0.0,0.0,80971.0,0.0,272031.0,12972.0,32604.0,0.0,0.0,0.0,0.0,0.0,John Day,OR,0
Grays Harbor Transit,314,3851090.0,1333760.0,5935823.0,541228.0,0.0,0.0,945165.0,0.0,132.0,0.0,11661901.0,0.0,0.0,0.0,0.0,113746.0,0.0,1725880.0,85339.0,671886.0,0.0,0.0,0.0,0.0,0.0,Hoquiam,WA,0
Mason County Transportation Authority,315,1357231.0,5510186.0,341697.0,325324.0,384795.0,257712.0,183269.0,0.0,56.0,0.0,7534438.0,0.0,0.0,0.0,0.0,125100.0,0.0,685654.0,36131.0,242339.0,0.0,0.0,0.0,0.0,0.0,Shelton,WA,0
Jefferson Transit,316,4555324.0,0.0,791512.0,11700.0,0.0,0.0,894774.0,0.0,20.0,0.0,5358536.0,0.0,0.0,0.0,0.0,11700.0,0.0,684779.0,27224.0,195960.0,0.0,0.0,0.0,0.0,0.0,Port Townsend,WA,0
Mt Si Senior Center,317,0.0,545436.0,689746.0,9430.0,0.0,0.0,0.0,0.0,8.0,0.0,1244612.0,0.0,0.0,0.0,0.0,9430.0,0.0,162493.0,12042.0,21082.0,0.0,0.0,0.0,0.0,0.0,North Bend,WA,0
"Hood River County Transportation District, dba: Columbia Area Transit",319,606754.0,1194354.0,112651.0,221186.0,81939.0,0.0,9033.0,0.0,48.0,0.0,2134945.0,0.0,0.0,0.0,0.0,197616.0,0.0,520383.0,17237.0,56081.0,0.0,0.0,0.0,0.0,0.0,Hood River,OR,0
Yamhill County,321,1360509.0,1512457.0,641128.0,16488.0,0.0,235578.0,0.0,0.0,72.0,0.0,3530582.0,0.0,0.0,0.0,0.0,0.0,0.0,670466.0,36075.0,172840.0,0.0,0.0,0.0,0.0,0.0,Mcminnville,OR,0
Pacific Transit,322,948587.0,747057.0,515263.0,49311.0,0.0,0.0,17995.0,0.0,20.0,0.0,2260218.0,0.0,0.0,0.0,0.0,47589.0,0.0,324053.0,14127.0,78073.0,0.0,0.0,0.0,0.0,0.0,Raymond,WA,0
Malheur Council on Aging and Community Services,323,419027.0,128845.0,32000.0,150388.0,20342.0,142440.0,0.0,3173.0,27.0,0.0,730260.0,0.0,0.0,0.0,0.0,143192.0,0.0,174919.0,11027.0,19272.0,0.0,0.0,0.0,0.0,0.0,Ontario,OR,0
Valley Transit,327,1233666.0,0.0,422852.0,126365.0,72800.0,0.0,0.0,0.0,20.0,0.0,1782883.0,0.0,0.0,0.0,0.0,126365.0,0.0,513874.0,20652.0,31203.0,0.0,0.0,0.0,0.0,0.0,Wasilla,AK,0
City of Canby,330,556428.0,393287.0,1341859.0,37405.0,0.0,0.0,170208.0,0.0,20.0,0.0,2328979.0,0.0,0.0,0.0,0.0,37405.0,0.0,310527.0,18956.0,70240.0,0.0,0.0,0.0,0.0,0.0,0,OR,0
Sunset Empire Transportation District,331,1131577.0,92932.0,414827.0,267606.0,0.0,622335.0,0.0,0.0,24.0,0.0,1906942.0,0.0,0.0,0.0,0.0,264709.0,0.0,725808.0,37032.0,145174.0,0.0,0.0,0.0,0.0,0.0,Astoria,OR,0
